Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	553712	635202	870696	1100106	1352078	1606712	2327977	2378180	2967897	3640605	3615723	3843405	4257000	4031383	4408576	5231135	5957042	5774308	5660654	7779196	
"China"	19682	25304	58872	80236	127426	175337	350088	249148	539431	599993	618158	609786	769763	727157	815927	1242487	1386643	1270655	1240980	1707680	
"United States of America"	136070	134157	243068	327073	346209	379647	534153	717305	676017	807668	708143	887719	860312	769791	865068	851414	935436	949904	827035	1191952	
"Indonesia"	81345	64287	58684	46692	73123	109730	175172	118602	114535	152376	124367	120483	229034	190200	304648	420011	494735	365780	352752	641736	
"Germany"	57970	69158	74440	90492	135448	142964	176919	165966	256787	272081	297607	310316	334899	327269	364893	437372	367374	327400	381183	421132	
"Singapore"	25052	29193	33123	42467	54029	71194	77236	66882	94281	136797	129580	168524	201601	179298	197561	205889	308634	317036	341865	420055	
"Japan"	37517	46214	60025	62826	66050	74326	109781	127783	147433	176226	204022	178694	183381	195222	193016	191623	207543	203500	233819	360755	
"Malaysia"	28605	49464	49636	78169	68611	88443	171442	126922	137676	197656	197764	157944	197190	165749	178375	226572	311852	234678	252510	356726	
"Korea, Republic of"	6634	8718	12529	21259	29773	28351	39712	50220	75944	101898	105365	113325	135323	143364	167348	162264	220087	217991	354470	307808	
"Netherlands"	10324	17755	21613	26307	32295	30501	42692	48921	71061	70140	178599	78188	90807	94155	70990	106359	152023	172326	170569	265789	
"Saudi Arabia"	127	94	716	406	5095	12958	25193	23542	33746	43772	79530	106144	74656	95025	96751	111418	131341	150610	136723	257170	
"Belgium"	11616	13892	25348	38010	24059	25470	44310	46107	53145	63025	55283	87992	102744	101907	121779	98160	200599	201601	150878	197194	
"Italy"	20694	33994	37918	39182	45019	57444	67429	66036	70460	77990	86311	101964	97495	99664	92457	98741	101834	124645	93992	192820	
"United Kingdom"	29535	39422	35391	42642	42890	54214	68119	66264	77671	96729	81448	97050	101941	85262	86114	89330	83382	94852	97170	152521	
"Thailand"	1139	1114	1936	4041	11522	11370	13355	10778	26209	44678	57240	43031	75071	68169	109977	132180	139735	159636	113063	144195	
"France"	28972	29453	54874	61962	101252	94413	107972	115104	103593	157458	131209	152392	121409	113285	97381	93628	137139	143993	128967	120901	
"Spain"	3373	4045	7153	5389	8315	8236	17007	13079	19725	16881	17422	28134	48500	41164	41303	64587	59031	56777	85868	120601	
"Israel"	1399	2401	6020	8806	9945	13888	17400	19437	34878	26480	29521	32971	49468	68362	55223	56338	63289	57248	59400	90411	
"Viet Nam"	500	602	772	1147	1641	2765	3142	5226	9457	15785	14741	16588	18483	18579	16448	25318	36088	44089	42634	86519	
