Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	23181189	28438496	28003773	22796806	26214937	30683739	19332821	9400924	13016630	10953249	
"United States of America"	13587616	15489568	17622577	13241504	14254991	16538528	7128029	2742513	3062491	3473663	
"France"	5067235	7434032	6059091	3920783	6003843	8660174	7071998	2817911	4776219	3335932	
"Germany"	2945065	3798355	2758005	4120410	4258306	3843770	3747584	3019531	3940803	3013130	
"Canada"	724619	224315	497914	484441	349879	501260	385964	219824	461047	356853	
"United Kingdom"	357543	402638	295352	202300	275473	360946	293831	178702	181917	185325	
"Russian Federation"	38955	102784	107233	143591	130916	111249	87662	114029	128576	154358	
"China"	45168	554611	274622	10333	75329	8012	8032	12144	82958	76840	
"Spain"	10913	12840	27877	13591	40158	51088	58915	48750	55841	60996	
"Korea, Republic of"	16615	22797	32614	41582	45765	52255	66276	34350	41933	50064	
"Italy"	77127	43719	35866	106280	147015	166353	98575	20208	60040	38362	
"Japan"	6025	8817	11524	9387	8366	27001	35459	30305	31935	32027	
"Mexico"	695	891	1237	2343	6020	12597	20363	19260	19188	25241	
"Singapore"	17692	12869	13000	18671	31449	37052	46378	27708	24657	20730	
"Taipei, Chinese"	600	26517	1313	5191	1635	3142	9072	11609	12123	18930	
"Malaysia"	9423	7217	7204	3507	3976	9683	16842	14546	18375	14824	
"Philippines"	74	11	198	225	1056	2592	2610	1441	11178	14595	
"Czech Republic"	1592	1978	1768	1141	8798	16652	14509	9900	10864	14409	
"Austria"	14567	13216	11182	9029	12431	25727	31990	28158	23681	12054	
"Belgium"	12651	11442	14385	10089	12504	13146	13003	4656	10008	9546	
"India"	1249	17	24	754	1847	2081	3033	3759	5138	8055	
"Ukraine"	421	17340	5450	1246	260	37557	30307	7538	10538	6856	
"Morocco"	5342	5401	5791	4943	5372	8225	9375	5184	5120	4940	
"Switzerland"	5430	16780	6245	24021	27953	19077	69622	2025	17477	3880	
"Poland"	791	1923	1520	4024	5386	4341	9443	8182	4074	2915	
"Australia"	1592	1322	1645	3530	2673	3418	12123	2336	4346	2598	
"Brazil"	210847	184069	184203	373091	463067	118597	14040	528	662	1962	
"Netherlands"	6469	29593	11420	7541	12330	3830	18732	1394	802	1583	
"Finland"	915	11	1	1	0	0	1	65	1821	1554	
"Romania"	4	383	4	66	510	901	1096	1041	970	1514	
"Israel"	40	531	188	184	2053	22523	990	780	1480	1341	
"Luxembourg"	2	19	77	1073	975	3628	2477	3061	2337	1004	
"New Zealand"	678	4698	5567	10189	12506	5442	9007	738	1265	946	
"Türkiye"	63	181	63	938	237	239	247	311	521	918	
"Kazakhstan"	7	0	0	0	0	0	0	145	507	894	
"Thailand"	63	36	101	117	1966	4270	4888	2420	1759	757	
"South Africa"	40	391	158	104	195	473	779	673	372	576	
"Sweden"	1192	901	1821	5995	196	322	409	254	407	531	
"Hungary"	418	206	257	244	187	196	2335	371	324	344	
"United Arab Emirates"	0	58	0	0	178	71	91	90	189	323	
"Tunisia"	7	0	0	0	85	300	398	181	312	311	
"Viet Nam"	6	2	61	96	14	42	93	348	268	309	
