Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"World"	190956575	-19189908	100	6	8		100	7				
"China"	59318741	-40205192	31.1	13	18	1	26.4	10	5955	0.07	1.4	
"Poland"	10932863	-2762733	5.7	17	-11	18	1.2	13	1687	0.13	0	
"Hungary"	10263668	-2999934	5.4	10	3	19	1.1	10	1614	0.14	0	
"Czech Republic"	9820193	-1605273	5.1	5	9	13	1.4	7	1240	0.17	0	
"Taipei, Chinese"	8016186	-5005131	4.2	8	26	3	7.1	16	3018	0.17	1.4	
"United States of America"	7349900	7144332	3.8	-3	7	4	5.6	3	6808	0.1	1.4	
"Malaysia"	6838505	-4539384	3.6	6	23	9	3.7	11	5270	0.11	1.4	
"Japan"	5835299	-3859625	3.1	-1	-6	10	3.2	2	4641	0.11	1.4	
"Netherlands"	5644615	3920470	3	4	-1	12	1.8	3	1825	0.09	0	
"France"	5523928	4516599	2.9	1	-2	14	1.3	1	2677	0.07	0	
"Romania"	5357865	-710745	2.8	1	1	28	0.5	4	1671	0.15	0	
"Italy"	4791189	4180309	2.5	6	-2	16	1.3	7	3035	0.05	0	
"Austria"	4123944	3689205	2.2	1	-7	22	0.6	0	2098	0.11	0	
"Switzerland"	3994054	1099667	2.1	1	0	31	0.4	3	3531	0.1	0	
"Korea, Republic of"	3912936	-1436500	2	-3	6	5	5.5	4	3732	0.17	0	
"Viet Nam"	3687599	-3270501	1.9	1	3	8	4.7	12	7762	0.14	0.4	
"Philippines"	3617560	-3074842	1.9	7	29	17	1.3	3	4928	0.11	0	
"Thailand"	3306345	-2338165	1.7	9	31	15	1.3	7	7279	0.12	1.4	
"United Kingdom"	2426356	3985615	1.3	-13	5	20	0.8	-2	4035	0.06	0	
"Slovakia"	2319316	102032	1.2	-6	-6	25	0.5	0	1015	0.09	0	
"Spain"	1985409	3626761	1	1	-15	23	0.6	2	2892	0.07	0	
"Mexico"	1604448	746302	0.8	-1	11	11	2.8	2	2421	0.77	0	
"India"	1532780	145228	0.8	24	36	21	0.7	23	8384	0.09	0.4	
"Serbia"	1502044	-803844	0.8	14	19	41	0.1	13	1204	0.15	0	
"Tunisia"	1363339	-779609	0.7	7	9	39	0.2	5	2025	0.19	0	
"Slovenia"	1350333	-528498	0.7	5	4	38	0.2	8	1342	0.11	0	
"Türkiye"	1224010	1467922	0.6	7	11	32	0.4	12	2774	0.04	0	
"Ireland"	1216316	-505510	0.6	7	45	26	0.5	17	6868	0.35	0	
"Portugal"	1056147	832679	0.6	-3	-17	36	0.2	3	2712	0.11	0	
"Bulgaria"	994828	-182042	0.5	12	9	40	0.1	7	2252	0.09	0	
"Sweden"	888055	2560106	0.5	1	-6	27	0.5	5	2326	0.08	0	
"Finland"	835999	717354	0.4	16	37	35	0.2	3	4116	0.05	0	
"Belgium"	768815	2528726	0.4	-6	-13	24	0.5	5	2200	0.08	0	
"Singapore"	758877	1152738	0.4	1	8	6	5.2	11	4420	0.11	1.4	
"Denmark"	749967	1274410	0.4	-14	6	34	0.2	-1	2552	0.07	0	
"Macedonia, North"	740533	-429334	0.4	2	14	56	0.04	6	1468	0.26	0	
"Ukraine"	682739	-281136	0.4	-2	-3	47	0.07	-4	1314	0.18	0.2	
"Hong Kong, China"	650217	1325814	0.3	3	7	2	10.3	6	2845	0.42	1.4	
"Indonesia"	491272	-177086	0.3	-4	11	30	0.4	13	7194	0.12	0.4	
"Morocco"	473321	10190	0.2	12	47	37	0.2	4	2645	0.16	0	
"Croatia"	385042	-63019	0.2	13	7	51	0.06	12	1231	0.08	0	
"Israel"	373220	481560	0.2	2	9	33	0.3	10	6531	0.12	0	
"Canada"	322531	699669	0.2	1	17	29	0.4	1	3176	0.54	0	
"Lithuania"	244596	464426	0.1	10	20	46	0.08	5	1745	0.05	0	
"Greece"	236295	490562	0.1	16	-5	49	0.07	21	2388	0.09	0	
"Brazil"	153939	923483	0.1	-7	-7	42	0.1	5	6662	0.1	1.4	
"Malta"	144998	-73843	0.1	13	130	59	0.03	6	5330	0.13	0	
"Russian Federation"	119985	684699	0.1	0	-36	55	0.04	-3	3862	0.05	1.4	
"Norway"	115954	825805	0.1	9	-34	45	0.08	2	3297	0.05	0	
"Estonia"	98507	274956	0.1	-24	-6	44	0.09	4	2893	0.11	0	
