Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	36512289	38824894	36431014	37943245	40332783	44220658	44006150	42758748	49108213	47055791	
"United States of America"	7492743	7694345	7673995	7903347	8562653	9161632	9229887	8851833	9562910	9604653	
"China"	2795288	3177111	3185817	3267037	3556860	4007181	4155353	4493338	5541904	5754561	
"Switzerland"	3878227	3988402	3953109	4037278	4041160	4055698	3722106	3653492	4193895	3844150	
"Japan"	2913428	3149677	2609661	2805784	3039347	3354146	3224022	3018426	3356589	3097093	
"France"	1955755	2050177	1881319	1828416	1924344	2128572	2099936	1773603	1951833	1957435	
"United Kingdom"	1580736	1714530	1581829	1593376	1705315	1804238	1864933	1633135	1944441	1926426	
"Netherlands"	1536135	1587631	1464492	1523318	1602491	1849331	1552996	1509682	1867430	1599520	
"Hungary"	1435752	1435939	1257803	1289977	1320994	1469055	1261943	1193726	1362643	1351120	
"Mexico"	583703	610129	633775	726911	977013	1225929	1314522	1273150	1556462	1289924	
"Italy"	1183060	1272587	1036106	1067296	1084899	1215131	1182822	1093687	1375505	1289354	
"Ireland"	686382	862216	768517	924946	929795	1068973	1539186	1527415	2015592	1235517	
"Czech Republic"	784834	836119	705197	833553	1122804	1272347	1151748	1085205	1256599	1232981	
"Malaysia"	748785	782412	802009	856550	929572	963522	982317	938595	1064214	1191380	
"Poland"	624964	793015	894606	894352	952735	1027850	1023584	1097323	1262262	1132157	
"Austria"	1095990	1101354	941086	1041089	1005160	1073712	1031901	966826	1150422	1029460	
"Singapore"	641456	694659	662249	608415	745760	830906	882059	909417	929408	866286	
"Portugal"	147093	149249	151762	243451	389594	639200	726008	709538	736167	827626	
"Romania"	196921	273639	250024	432444	506883	671750	693979	663750	705015	634513	
"Thailand"	252833	256571	235652	240668	272008	316762	342254	324948	462121	525078	
"Taipei, Chinese"	236183	293291	327591	348279	274748	287983	287836	361194	451122	514077	
"Israel"	256375	250256	242241	211374	287518	324174	373735	430742	512313	454605	
"Denmark"	511125	502809	411999	457108	430941	462449	431437	429419	474233	430533	
"Korea, Republic of"	627769	674193	531596	447743	296892	318086	365771	356280	381332	420919	
"Canada"	235432	275758	244213	241583	287153	312341	349792	338713	357226	378983	
"Belgium"	570585	559231	490021	495985	475226	518863	461498	436746	470711	373661	
"Bulgaria"	66436	71700	69867	87183	124568	135919	151194	165786	296808	344547	
"Australia"	130581	122489	116973	111717	150475	187093	261355	272508	306511	321794	
"Sweden"	399703	413640	363763	362912	345759	409305	376677	350505	357440	311744	
"Türkiye"	189478	248122	211361	219138	250355	277511	263677	260503	281727	303534	
"Viet Nam"	67975	100379	105516	139882	160651	199805	247400	242305	274497	298853	
"Finland"	177007	183544	163245	157425	211435	257985	233053	246204	254366	251858	
"Spain"	285477	298258	267410	320425	308095	327961	289335	296252	305130	218627	
"India"	139741	136200	115847	129698	149823	168830	159455	164758	180663	184650	
"Costa Rica"	38597	63030	81005	108056	112915	113829	134816	135056	181014	182731	
"Slovakia"	324611	343014	296424	312387	301304	232347	183938	142828	171453	164234	
"Philippines"	424871	582854	561094	466730	188526	175487	167759	148394	154628	157362	
"Russian Federation"	136887	79519	82943	120854	196268	153193	122108	77221	113142	128278	
"Serbia"	51501	48139	52834	52932	63646	74233	70835	85834	100672	113967	
"Hong Kong, China"	145606	148205	139082	150934	152044	160570	140932	126240	137656	108325	
"Slovenia"	92928	104683	89919	105742	110947	127004	117339	110697	121137	96799	
"Lithuania"	32179	39323	37693	38596	48725	63899	70695	94293	99867	84990	
"Norway"	116745	101250	75686	71212	60761	61180	69325	62840	76454	73880	
"New Zealand"	25866	36675	31334	38006	47897	52997	55901	110774	99100	61367	
"Estonia"	38934	36961	38392	36115	40722	57918	61924	70398	66165	59667	
"Pakistan"	41771	44157	42550	41960	44072	46540	49850	47544	57120	57819	
"Indonesia"	149109	171982	195230	200311	89179	82523	62810	61729	68411	54092	
"Brazil"	57945	48449	52837	57004	44179	51286	47727	42273	40383	53411	
