Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	376035	276290	376575	470042	423228	391027	652981	516612	534362	505153	
"China"	70407	71617	59905	72485	71865	110238	158514	202906	197255	157740	
"Germany"	45841	41290	32073	42915	38175	57861	108029	106799	143634	136497	
"United States of America"	80810	36348	43110	49149	34414	24823	252374	81463	20280	81091	
"Czech Republic"	10354	9916	9856	4739	8357	8071	6373	10919	11393	20401	
"Korea, Republic of"	31305	7489	104829	191654	145349	16515	10851	43735	90361	17267	
"Italy"	2545	3577	2885	3939	6281	9669	12034	6312	12292	14356	
"Ukraine"	8580	6684	0	0	2455	273	470	67	0	12252	
"Singapore"	585	217	864	577	633	2211	800	1380	6372	7099	
"Hong Kong, China"	272	103	12	93	58	701	9819	830	3391	7063	
"Russian Federation"	5927	32	12	5931	7843	1679	182	253	122	5745	
"Belgium"	2343	321	915	3452	5690	1644	7705	1491	4215	5101	
"France"	3249	3519	17844	13539	14251	23033	19108	6578	6156	4631	
"Austria"	27197	33392	62349	27840	44057	73069	17067	2391	4934	3627	
"Japan"	23370	12401	11929	26158	3693	8088	2004	1201	1504	2838	
"Mauritius"	0	2	0	0	0	0	0	0	1566	2716	
"Taipei, Chinese"	446	65	308	237	165	662	398	1215	1511	2682	
"Sweden"	4531	2606	3429	7111	11381	8346	5286	2847	1464	2534	
"Slovenia"	0	0	921	576	1312	33	3046	4005	283	2201	
"United Kingdom"	7978	4663	6119	4025	3103	4941	4013	5130	3262	2158	
"United Arab Emirates"	2354	165	810	1936	779	673	2344	7013	3766	2011	
"Netherlands"	1170	545	188	421	2849	2631	4068	3441	4099	1783	
"Canada"	1566	2610	731	540	1531	1319	973	1040	988	1691	
"Hungary"	1765	2320	3042	600	1548	2742	1209	1864	4457	1470	
"Indonesia"	260	7	9	0	264	283	1541	305	748	1421	
"Spain"	2535	686	1091	1009	3996	4938	4015	6420	4384	1359	
"Poland"	189	67	32	595	867	1485	592	1047	333	1105	
"Malaysia"	1396	20891	6370	183	555	507	671	1301	194	818	
"Viet Nam"	108	145	25	0	91	29	0	3	23	732	
"Switzerland"	3790	4149	1584	711	983	1968	3238	1470	196	521	
"South Africa"	47	628	118	724	187	600	388	1848	165	391	
"Mexico"	19421	2690	164	347	154	465	4436	1475	431	390	
"Macedonia, North"	64	54	0	0	0	8	507	338	28	380	
"Israel"	459	2314	2290	417	9	403	308	11	36	364	
"Sri Lanka"	59	106	22	30	113	15	16	292	79	358	
"Denmark"	596	154	8	647	2092	114	1399	59	140	345	
"Thailand"	1317	124	168	265	483	231	123	283	194	310	
"Türkiye"	15	35	0	44	180	192	583	691	167	285	
"Norway"	24	0	0	1	0	0	0	0	86	191	
"Georgia"	0	0	0	0	0	0	0	2	116	170	
"Saudi Arabia"	29	0	0	28	0	1	0	38	0	156	
"Argentina"	4	0	0	0	0	0	40	0	0	144	
"Belarus"	0	0	0	2	20	20	17	32	135	127	
"Estonia"	116	0	5	5	64	31	282	17	0	79	
"Finland"	209	38	17	147	1187	588	991	32	152	73	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	0	72	
"Greece"	0	0	2	0	0	0	0	540	32	65	
"Australia"	6924	1817	692	1406	2178	4550	3145	5014	2617	55	
"Bangladesh"	0	0	1	0	4	0	43	8	1	46	
"Lithuania"	0	77	34	159	133	36	9	114	0	44	
"Romania"	876	449	0	0	11	0	8	79	11	44	
"Area Nes"	105	489	61	379	313	13358	282	84	0	32	
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	0	27	
"Slovakia"	0	0	0	0	0	0	0	0	0	26	
"Qatar"	18	0	0	0	0	0	126	217	109	21	
"Bahrain"	0	0	0	1735	762	559	1814	892	2	14	
"Brazil"	917	1137	1589	2214	805	219	85	356	156	12	
"Kuwait"	26	30	0	0	0	0	2	1	0	8	
"Myanmar"	165	0	0	0	0	0	0	6	0	6	
"Colombia"	0	0	5	0	0	0	0	0	0	3	
"Mozambique"	0	0	0	0	0	0	0	23	3	3	
"Ireland"	2	0	32	19	26	14	14	207	19	2	
"Oman"	9	4	0	0	1	4	0	0	174	1	
"Nepal"	0	0	0	0	0	0	3	0	1	1	
"Sudan"	0	0	0	0	0	17	0	0	0	1	
"British Virgin Islands"	0	0	0	0	0	0	20	1	0		
"Christmas Island"	0	0	0	0	0	17	0	0	0		
"Equatorial Guinea"	1	0	0	0	0	0	0	0	0		
"French Southern and Antarctic Territories"	0	0	5	7	0	0	0	0	0		
"Korea, Democratic People's Republic of"	0	21	19	406	677	51	0	0	50		
"Afghanistan"	0	0	0	0	32	0	0	0	0		
"Algeria"	0	0	0	0	0	0	13	0	0		
"Angola"	3	0	0	0	0	0	0	30	0		
"Brunei Darussalam"	0	0	0	0	0	0	0	0	6		
"Bulgaria"	0	0	0	4	74	212	155	139	208		
"Chile"	0	2	0	0	0	0	15	0	0		
"Congo"	110	39	0	0	0	0	1	0	0		
"Cyprus"	0	0	0	0	0	0	0	127	0		
"Ecuador"	0	0	0	0	22	28	0	0	0		
"Gabon"	37	0	0	0	0	0	0	0	11		
"Ghana"	0	0	0	0	0	0	0	1	0		
"Iran, Islamic Republic of"	4	3	0	0	0	0	3	0	0		
"Kazakhstan"	0	0	39	0	0	0	331	0	0		
"Jordan"	0	0	0	0	0	0	0	0	15		
"Kenya"	0	0	0	1	0	0	6	8	0		
"Kyrgyzstan"	0	0	0	1	0	0	0	2	0		
"Latvia"	365	0	0	0	0	0	0	0	0		
"Luxembourg"	77	0	0	25	0	0	0	0	8		
"Maldives"	0	3	0	5	0	0	0	0	6		
"Malta"	0	0	0	0	0	0	0	22	0		
"Mongolia"	0	9	12	15	2	42	2	13	8		
"Montenegro"	0	0	5	0	0	0	0	0	0		
"Morocco"	0	0	0	0	0	2	0	0	0		
"Namibia"	0	0	0	0	0	0	0	2	0		
"New Zealand"	239	0	39	496	1064	780	827	130	0		
"Nicaragua"	0	0	0	8	0	0	0	0	0		
"Nigeria"	34	0	0	1	0	0	2	0	0		
"Pakistan"	0	0	0	0	0	0	6	0	0		
"Panama"	8	0	0	0	0	0	0	0	3		
"Philippines"	190	0	2	1	0	0	0	0	0		
"Portugal"	591	128	0	15	0	0	0	40	0		
"Serbia"	0	0	0	66	73	12	254	3	0		
"Seychelles"	0	0	0	1	0	0	0	0	0		
"Sierra Leone"	4	0	0	0	0	0	0	0	0		
"Suriname"	3	0	0	0	0	0	0	0	0		
"Eswatini"	0	14	2	8	19	0	0	0	0		
"Togo"	0	0	0	0	0	6	0	0	0		
"Tunisia"	0	0	0	0	0	16	0	0	0		
"Tuvalu"	0	0	0	0	0	1	0	0	0		
"Egypt"	2	5	0	0	0	0	0	7	1		
"Tanzania, United Republic of"	2094	91	1	0	0	0	1	0	10		
"Zambia"	0	1	0	0	0	0	0	0	0		
