Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"World"	354057	338857	100	9	26		100	9				
"United States of America"	63552	174660	17.9	6	75	1	24.1	-6	9334	0.05	2.2	
"Taipei, Chinese"	39668	-36629	11.2	27	35	19	1	27	9483	0.27	2.2	
"Italy"	30741	-8827	8.7	7	18	2	10.3	16	4646	0.14	0	
"Czech Republic"	24967	-10015	7.1	8	10	9	3.2	9	4223	0.11	0	
"China"	24460	-23335	6.9	15	64	18	1.4	20	10052	0.34	2.2	
"Hungary"	19688	-7527	5.6	-1	78	35	0.3	16	4148	0.3	0	
"Switzerland"	17220	25798	4.9	-5	-21	11	2.6	13	3337	0.16	0	
"Sweden"	15419	12801	4.4	14	45	21	0.8	13	4917	0.16	0	
"Area Nes"	13412	-13412	3.8	-1	5							
"Austria"	13038	35660	3.7	10	45	29	0.4	10	2390	0.08	0	
"Bulgaria"	12720	-7777	3.6	24	6						0	
"Türkiye"	10443	-9581	2.9	20	28	8	3.3	32	7471	0.34	0	
"Finland"	7967	-486	2.3	11	6	22	0.7	13	5235	0.13	0	
"Spain"	7946	4539	2.2	14	17	10	2.9	2	4876	0.07	0	
"Brazil"	7900	-7395	2.2	5	19	14	2.1	4	9196	0.32	2.2	
"United Kingdom"	7474	19682	2.1	34	-26	5	5.4	59	5198		0	
"Norway"	5625	6562	1.6	26	-17	12	2.4	16	4542	0.15	0	
"Serbia"	4368	-3560	1.2	9	25	32	0.4	21	7019	0.52	0	
"Bosnia and Herzegovina"	3872	-3501	1.1	17	71	23	0.7	4	3689	0.12	0	
"Canada"	2828	5522	0.8	-24	0	17	1.5	7	3316	0.45	0	
"Mexico"	2322	-2056	0.7	61	150	28	0.5	761	1624	0.77	0	
"Israel"	2193	-1794	0.6	0	28	3	9.5	32	4835	0.87	0	
"Japan"	1972	-386	0.6	4	-11	16	2	20	10128	0.86	2.2	
"Korea, Republic of"	1863	-460	0.5	19	96	4	6.4	20	7828	0.19	0	
"France"	1735	46750	0.5	-15	75	24	0.6	-2	3373	0.1	0	
"Poland"	1283	23104	0.4	14	-20	6	4.6	56	1138	0.83	0	
"Slovenia"	1172	2164	0.3	101	15	37	0.2	14	1353	1	0	
"Lithuania"	1152	2153	0.3	193	13	39	0.10	13	1294	0.15	0	
"Hong Kong, China"	988	-533	0.3	2	-21	63	0	4	2327	0.38	2.2	
"India"	941	8229	0.3	1	-18	26	0.6	17	10003	0.32	2.2	
"Portugal"	897	1003	0.3	15	57	33	0.4	8	5075	0.48	0	
"Belgium"	763	7669	0.2	17	-40	13	2.1	58	3107	0.12	0	
"Netherlands"	623	24421	0.2	20	24	25	0.6	33	3072	0.25	0	
"South Africa"	613	2212	0.2	-9	51	96	0		1092	0.31	0	
"Denmark"	531	16618	0.1	-1	-59	38	0.2	-2	3827	0.2	0	
"Pakistan"	405	-255	0.1	3	-12	43	0.04	11	8202	0.25	2.2	
"Argentina"	264	-22	0.1		25						2.2	
"Croatia"	146	2311	0	90	54	20	0.8	13	6694	0.56	0	
"Philippines"	120	375	0	-1	186	31	0.4	83	12662	0.91	2.2	
"Russian Federation"	100	1053	0	-49	-89	30	0.4	-3	7989	0.61	2.2	
"Romania"	98	3440	0	-3	145						0	
"Estonia"	85	2421	0		-72	36	0.2	60	1293	0.48	0	
"Ireland"	80	2047	0		1233	78	0	-40	2667	0.32	0	
"Singapore"	64	1156	0			51	0.02	46	7279	0.27	2.2	
"Ukraine"	55	2029	0	25	104						0	
"Malaysia"	43	331	0			52	0.02	15	10759	0.27	2.2	
"Latvia"	41	4365	0	274	-87	42	0.05	39	1475	0.46	0	
"Australia"	40	5874	0	-32	100	34	0.4	-1	11932	0.36	2.2	
"Myanmar"	31	-31	0		63	111	0		7084	0.5	2.2	
"Viet Nam"	30	62	0	-22	-71	62	0	43	6940	0.16	2.2	
"New Zealand"	25	1433	0	89	32	56	0.02	-1	7721	0.3	2.2	
"Indonesia"	21	897	0	-25	62	55	0.02	46	3071	0.19	2.2	
"Namibia"	17	212	0		240	90	0	-5	4986	0.44	2.2	
"Thailand"	14	301	0	11	367	27	0.6	-24	4759	0.89	2.2	
"El Salvador"	10	34	0	-18	-50	77	0	-34	3779	0.72	0	
"Slovakia"	5	7027	0			15	2	31	1589	0.43	0	
"Luxembourg"	1	3721	0	-75		64	0	7	689	0.18	0	
"Chile"	1	1713	0	-36		47	0.03	143	11238	0.69	0	
"Iceland"	1	440	0	-10		85	0	27	2213	0.47	0	
"Egypt"	1	255	0			57	0.01		7768	0.97	0	
"Nepal"	1	3	0			44	0.04	533	7421	0.99	2.2	
"Cambodia"	1	2	0	-35		83	0		13543	0.9	2.2	
"Ghana"	1	2	0			118	0		5094	1	2.5	
"United Arab Emirates"		3551				41	0.05	-8	7839	0.52	2.2	
"Greece"		1733				40	0.09	4	2186	0.29	0	
"Cyprus"		1260				48	0.03	-1	3495	0.15	0	
"Kazakhstan"		1211				76	0	18	2885	0.53	2.2	
"Saudi Arabia"		1037				74	0	-59	10020	0.63	2.2	
"Oman"		601				59	0	279	7116	0.35	2.2	
"Andorra"		441				75	0	11	1184	0.36	0	
"Peru"		425				50	0.03	2	5750	0.95	0	
"Kyrgyzstan"		375									2.2	
"Rwanda"		353									2.2	
"Colombia"		311				45	0.04	-33	3960	0.91	0	
"Kuwait"		307				91	0	94	3574	0.94	2.2	
"Bolivia, Plurinational State of"		293									2.2	
"Venezuela, Bolivarian Republic of"		289									2.2	
"Mongolia"		286									2.2	
"Paraguay"		230									2.2	
"Botswana"		230									2.2	
"Macedonia, North"		223									0	
"Morocco"		208				99	0	-76	1663	1	0	
"Malta"		197				82	0	-23	4458	0.32	0	
"Qatar"		153				61	0	36	4067	0.99	2.2	
"Bangladesh"		140				88	0	295	15555	0.95	2.2	
"Lebanon"		139				68	0	-34	10192	0.98	0	
"Uruguay"		136				108	0	64	8890	1	2.2	
"Uzbekistan"		134									2.2	
"Ecuador"		86				71	0		3566	0.94	0	
"New Caledonia"		83				119	0	124	16868	1	0	
"Azerbaijan"		82									2.2	
"Greenland"		76				95	0	59	3137	0.78	0	
"Brunei Darussalam"		66				130	0		11511	1	2.2	
"Mauritius"		60				128	0	-31	1748	1	2.2	
"Armenia"		53				127	0		2924	1	2.2	
"Georgia"		42				69	0	-19	772	0.47	0	
"Bahrain"		36									2.2	
"Maldives"		35									2.2	
"Libya, State of"		35									2.2	
"Jordan"		35									0	
"Panama"		32				70	0	63	6735	0.4	0	
"Dominican Republic"		31				92	0	85	6761	1	2.2	
"Tunisia"		29				49	0.03	167	3533	0.99	0	
"Zambia"		26				79	0	125	1298	0.26	2.2	
"Kenya"		26				116	0	-56	1534	0.56	2.2	
"Belarus"		26				117	0	-84	1593	1	2.2	
"Guatemala"		23				66	0	-3	12308	0.99	0	
"French Polynesia"		21				93	0	-41	15918	1	0	
"Montenegro"		19				54	0.02	43	2871	0.18	0	
"Senegal"		19									2.5	
"Honduras"		17									0	
