Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	1455	4343	2868	956	3040	5776	15821	26785	5037	29159	48676	53888	16455	35505	26449	34875	61146	67041	54046	121845	
"Israel"	103	130	127	90	91	6	1595	31	0	39	1008	20	48	84	168	340	3096	18691	37453	86636	
"Germany"	68	870	151	121	260	346	538	435	1840	686	5882	1740	3726	2789	6099	6196	7847	10176	5571	8085	
"France"	4	123	226	43	0	0	0	69	11	7584	138	899	156	52	26	152	112	5	564	7543	
"Italy"	224	164	121	109	187	3389	1737	2941	908	633	3364	3206	2308	2773	2568	3498	3399	3068	1437	7207	
"Slovenia"	0	44	0	0	0	0	0	0	0	0	38	4	28	8	5	90	1991	2944	984	2557	
"South Africa"	0	101	1825	0	1814	0	6480	21868	92	1579	8822	1966	0	15900	12379	16947	38936	20893	2242	1751	
"Cyprus"	7	65	35	72	54	16	223	94	96	140	127	186	289	206	170	355	1074	1129	457	1223	
"United States of America"	23	23	48	7	55	28	199	207	131	1310	324	558	5617	320	818	428	829	842	1718	1085	
"Russian Federation"	638	355	2	6	40	1541	3126	0	288	0	11890	43432	1	6350	1	32	43	8	5	937	
"Sweden"	0	0	0	0	10	131	356	151	3	4	10008	7	0	1341	390	88	10	0	0	749	
"United Kingdom"	84	86	21	147	248	37	174	55	110	196	2037	247	670	418	686	855	734	684	701	633	
"Spain"	0	86	0	0	2	0	0	0	0	0	77	0	185	14	105	121	41	121	416	536	
"Czech Republic"	50	75	76	79	35	36	106	60	95	137	99	199	324	1140	172	76	494	303	515	508	
"Türkiye"	0	0	0	0	0	0	0	4	7	2	59	0	8	104	29	5	296	2	174	484	
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	
"Denmark"	0	0	0	0	0	49	0	10	13	11	48	110	118	99	105	119	132	145	286	205	
"Bulgaria"	0	648	0	0	0	0	479	0	896	0	0	0	0	1655	1178	3579	32	6029	3	191	
"Switzerland"	0	285	21	6	5	25	45	67	202	176	251	166	239	729	728	795	445	464	99	189	
"Korea, Republic of"	0	0	4	34	0	0	0	0	0	78	21	0	815	27	20	0	118	277	147	174	
"Malta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	30	0	113	
"Croatia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	107	
"Canada"	0	0	0	8	0	0	36	0	0	2	17	7	71	0	4	453	366	42	0	104	
"Belgium"	0	0	3	0	1	0	0	0	10	3	0	16	1134	250	47	15	174	140	6	85	
"Argentina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	37	99	83	
"Australia"	15	25	30	21	0	19	28	52	228	105	32	17	111	81	61	111	257	177	55	77	
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	63	
"Brazil"	0	6	7	18	4	8	148	5	7	16	16	25	29	23	20	12	2	17	1	53	
"Austria"	0	1194	73	21	166	40	34	37	46	43	187	496	243	739	278	168	243	150	185	35	
"Belarus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	
"Slovakia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	
"Hong Kong, China"	4	0	0	0	0	0	0	2	0	0	5	0	0	1	0	0	11	0	0	18	
"Norway"	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	13	
"Taipei, Chinese"	0	0	0	10	0	1	0	0	0	3	3	0	0	1	22	1	16	0	0	8	
"United Arab Emirates"	0	5	0	0	1	0	34	0	2	0	0	13	20	4	2	1	4	0	1	6	
"Netherlands"	3	5	0	10	0	0	1	0	0	1	0	0	14	0	6	3	55	0	2	5	
"Poland"	4	0	0	4	0	33	0	0	0	3	0	0	0	0	0	0	0	0	12	4	
"Saudi Arabia"	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
"Finland"	0	0	2	114	33	69	0	0	2	1	114	24	184	317	94	148	275	355	77	2	
"China"	11	20	93	22	20	0	12	165	39	594	1219	25	27	31	18	73	19	77	54	1	
"Portugal"	0	0	0	0	0	0	0	0	0	0	8	0	0	2	10	0	0	0	0	1	
"Singapore"	0	2	1	2	0	0	3	2	5	15	591	441	0	1	0	0	0	1	0	1	
"Area Nes"	0	0	0	0	13	0	424	531	0	135	0	0	0	0	41	0	0	0	517		
"Azerbaijan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0		
"Bermuda"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Sri Lanka"	0	0	0	0	0	0	0	0	0	25	3	0	0	0	0	0	0	0	0		
"Colombia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Estonia"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14		
"Georgia"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0		
"Haiti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0		
"Hungary"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Ireland"	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0		
"Japan"	29	1	2	0	0	1	4	0	4	15459	1894	55	3	11	48	0	0	0	0		
"Malaysia"	137	0	0	0	0	0	17	0	0	3	16	0	22	0	0	0	0	0	0		
"Oman"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0		
"Curaçao"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0		
"New Zealand"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	198	0	2	0		
"Nigeria"	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0		
"Romania"	50	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34		
"Serbia"	0	0	0	0	0	0	0	0	0	0	22	31	62	32	19	9	0	76	0		
"Eswatini"	0	0	0	0	0	0	20	0	0	0	4	0	0	2	2	0	0	0	0		
"Thailand"	0	0	0	0	0	0	0	0	0	162	346	0	0	0	1	0	0	0	0		
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	32		
"Macedonia, North"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0		
