Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"World"	36879454	-27398	100	6	10		100	11				
"Belgium"	4717180	-1921044	12.8	6	19	6	4.5	7	1235	0.15	0	
"Italy"	4620313	-947224	12.5	11	6	7	4	12	1548	0.09	0	
"France"	4509676	-935878	12.2	5	11	10	3.4	6	1379	0.11	0	
"Netherlands"	3333975	-244252	9	11	8	12	2.8	5	1771	0.12	0	
"Austria"	2888156	-554500	7.8	1	10	18	1.7	6	1487	0.15	0	
"Finland"	2011592	-1180624	5.5	11	22	26	1.2	10	1958	0.14	0	
"Sweden"	1657111	-544403	4.5	4	-1	20	1.6	6	3026	0.07	0	
"Poland"	1555597	2102675	4.2	8	11	22	1.5	13	979	0.12	0	
"Czech Republic"	1516737	364334	4.1	9	3	27	1.1	9	731	0.15	0	
"Spain"	1429473	37763	3.9	10	17	16	2	8	1836	0.1	0	
"China"	787462	-103518	2.1	5	81	1	13.9	17	6179	0.04	0.3	
"Switzerland"	753862	640901	2	10	4	42	0.3	9	1022	0.25	0	
"Luxembourg"	735421	-123716	2	2	-1	39	0.4	0	1721	0.1	0	
"Slovakia"	606037	78401	1.6	12	14	28	1	11	520	0.13	0	
"India"	438034	-3743	1.2	21	7	14	2.5	23	7027	0.06	0.3	
"Korea, Republic of"	420997	-336469	1.1	6	29	4	5.1	5	6092	0.06	0	
"Türkiye"	359525	430057	1	12	20	13	2.6	11	3534	0.03	0	
"Russian Federation"	341343	-282793	0.9	-2	-63	8	3.9	5	4045	0.09	0.3	
"United Kingdom"	332608	518782	0.9	-13	7	19	1.7	6	3273	0.06	0	
"Slovenia"	322780	67345	0.9	10	-5	40	0.3	11	1072	0.1	0	
"Brazil"	318130	-113312	0.9	-16	80	11	3	10	8740	0.2	0.3	
"Denmark"	294829	479338	0.8	2	24	33	0.4	14	1396	0.11	0	
"Norway"	284096	-175253	0.8	2	19	37	0.4	13	2018	0.09	0	
"Area Nes"	272522	-134685	0.7	-3	50							
"Romania"	219624	73462	0.6	6	16	31	0.6	15	1846	0.08	0	
"Taipei, Chinese"	207335	-136134	0.6	11	47	15	2.2	7	6168	0.06	0.3	
"South Africa"	192416	-15527	0.5	2	31	25	1.2	3	8057	0.09	0	
"Hungary"	174618	520601	0.5	16	-1	35	0.4	7	702	0.12	0	
"Ukraine"	157839	-121526	0.4	-6	-39	29	0.8	-10	2266	0.11	0	
"Japan"	139449	-90757	0.4	-2	32	3	6.3	6	4791	0.09	0.3	
"United States of America"	137569	1374897	0.4	-16	8	9	3.8	8	5128	0.2	0.3	
"Canada"	114250	177683	0.3	23	21	17	2	15	1897	0.8	0	
"Algeria"	101835	-57157	0.3		156	48	0.2	126	4236	0.19	0	
"Iceland"	92585	-83808	0.3	22	75	70	0.07	17	4066	0.22	0	
"Bulgaria"	87859	14316	0.2	8	75	47	0.2	14	773	0.14	0	
"Viet Nam"	86502	-62200	0.2	35	30	21	1.5	31	7066	0.07	0.1	
"Malaysia"	81652	-59482	0.2	-1	59	23	1.3	22	4919	0.06	0.3	
"Indonesia"	46360	-38378	0.1	63	208	5	5	52	4693	0.48	0.1	
"Kazakhstan"	44236	-38833	0.1	103	196	30	0.7	12	5021	0.14	0.3	
"Thailand"	42280	9512	0.1	12	127	38	0.4	11	4149	0.07	0.3	
"Portugal"	41364	117925	0.1	11	31	36	0.4	6	1614	0.28	0	
"Latvia"	32716	-8	0.1	36	-68	66	0.08	1	1319	0.14	0	
"Serbia"	29859	-9573	0.1	-6	4	46	0.2	6	592	0.09	0	
"Macedonia, North"	28415	-26731	0.1	9	16	58	0.1	11	1365	0.07	0	
"Armenia"	26857	-26606	0.1	-20	-34	75	0.05	19	2834	0.6	0	
"Belarus"	25129	-15933	0.1	-26	-75	68	0.07	-15	1340	0.12	0.3	
"Trinidad and Tobago"	24050	-16339	0.1	18	173	52	0.2	11	4954	0.84	0	
"Libya, State of"	20596	-20419	0.1		-17	62	0.09	41	1539	0.35	0.3	
"Venezuela, Bolivarian Republic of"	19693	-12930	0.1	11	14	53	0.2	49	9189	0.44	0.3	
"Albania"	19440	-19360	0.1	17	-22	65	0.08	30	2982	0.09	0	
"Egypt"	19424	25579	0.1	-17	22	45	0.2	13	2909	0.09	0	
"Greece"	15653	119158	0	17	28	49	0.2	11	1148	0.09	0	
"Lithuania"	14320	108364	0	8	-18	54	0.2	16	1374	0.21	0	
"Ireland"	12217	64508	0	26	-66	69	0.07	8	1662	0.44	0	
"New Caledonia"	9248	-9246	0			44	0.3	5	9092	0.48	0	
"Croatia"	9205	115613	0	33	2	61	0.10	25	853	0.27	0	
