Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	672258	878487	899787	1167781	994328	741599	961312	399591	548542	656675	
"United States of America"	261606	562401	557608	453878	511810	330825	597063	184356	212583	333037	
"France"	116050	76717	77194	470802	222153	81615	99595	86870	75569	110115	
"Ireland"	59288	15655	19802	41716	73179	120843	30036	11942	44314	45538	
"Canada"	23265	14696	81531	25945	16975	35279	18943	7714	89140	40164	
"South Africa"	21279	33045	24476	31502	25070	30281	34454	35637	46208	22268	
"Switzerland"	5717	7860	7135	25667	11436	14276	17201	1595	14097	19931	
"Germany"	20253	16755	20809	9335	19408	6220	8870	7343	3939	14569	
"Area Nes"	163	26	2859	897	7845	2047	17662	9165	2282	12918	
"United Kingdom"	34323	50819	34232	40529	37236	35586	16487	10335	6524	12290	
"Italy"	25821	12082	11468	8629	4886	6200	22768	21761	29945	9136	
"China"	161	300	813	504	758	3239	2263	1671	2124	5713	
"Botswana"	495	23	405	899	46	142	1818	557	101	5582	
"Namibia"	547	4085	764	2199	1757	273	92	42	187	3174	
"Algeria"	19	47	42	37	291	86	23	103	83	3062	
"Brazil"	25798	3510	976	716	2375	31571	2159	330	1122	2737	
"Czech Republic"	848	6995	1003	834	753	1276	890	374	279	1832	
"Australia"	2373	10266	11250	7297	1279	7034	996	3730	961	1483	
"United Arab Emirates"	968	125	205	106	3473	242	30828	621	473	1438	
"Malaysia"	12	43	3	7	569	391	259	122	413	891	
"Angola"	161	160	94	143	58	68	1579	25	21	830	
"Sudan"	7	2	113	5	4	15	5	8	9	819	
"New Zealand"	2960	2288	747	426	316	185	310	433	1873	774	
"Ethiopia"	9	0	0	0	1	0	26	1	194	744	
"Sweden"	14618	4928	3038	2657	2692	1164	1378	1011	545	457	
"Hungary"	16	0	3	6	17	344	45	55	17	447	
"Kenya"	401	232	240	383	228	169	192	79	426	425	
"Uganda"	92	97	64	16	335	65	190	49	160	387	
"Japan"	142	326	517	518	935	729	298	1130	188	379	
"Netherlands"	1718	4015	1154	4743	21444	13002	983	2677	245	343	
"Denmark"	449	6185	1361	395	500	676	447	439	520	318	
"Slovenia"	697	49	66	152	192	206	761	201	297	312	
"Georgia"	0	1	13	0	0	0	27	1114	467	300	
"Austria"	275	1876	316	305	293	122	319	199	57	262	
"Malawi"	3	145	0	1	0	5	2	321	1	258	
"Rwanda"	13	3	2	1	0	39	0	2		258	
"Mexico"	145	317	628	1184	981	443	364	184	230	246	
"Türkiye"	73	162	150	382	154	2129	90	61	106	235	
"Poland"	265	314	680	805	1165	114	123	71	121	232	
"Mauritius"	1297	3	12	342	623	17	35621	1	3	200	
"Spain"	4021	3393	2594	4715	5994	768	501	176	119	171	
"Afghanistan"	194	323	229	147	127	338	18	4	2	164	
"Zambia"	53	79	333	184	160	427	180	167	207	160	
"Nigeria"	22	69	83	80	107	49	82	35	1971	122	
"Belgium"	3499	28128	442	463	1292	325	1219	243	300	116	
"Hong Kong, China"	39	151	338	370	166	422	51	26	51	116	
"Russian Federation"	375	183	48	1675	62	11	30	57	557	107	
"Bulgaria"	0	38	31	54	21	67	72	2	38	101	
"Singapore"	26328	518	393	440	686	1957	177	429	51	92	
"Mozambique"	22	73	115	88	91	93	66	85	132	84	
"Ukraine"	162	146	148	371	45	55	184	57	37	84	
"Zimbabwe"	73	32	5	41	40	71	168	17	44	83	
"Thailand"	753	135	194	83	102	164	163	45	50	83	
"Viet Nam"	53	105	65	50	77	61	71	86	80	79	
"Lithuania"	9	19	339	349	101	214	198	65	1391	69	
