Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"World"	2871573	141739	100	27	37		100	-9				
"United States of America"	1212303	944318	42.2	25	3	5	6.2	0	10153	0.05	0	
"Sweden"	268263	-256462	9.3	90	1400	33	0.3	-5	5047	0.22	0	
"Canada"	223973	-94920	7.8	8	252	4	6.9	-2	4223	0.32	0	
"France"	222154	-146997	7.7	-2	7	1	22.5	-14	5153	0.06	0	
"Brazil"	203646	-203646	7.1	146	69	9	2.1	-9	8122	0.52		
"Portugal"	124115	-116392	4.3	67	40	34	0.3	-11	4528	0.22	0	
"Germany"	91638	-83353	3.2	9	51	2	19.9	-11	4860	0.06	0	
"Italy"	83301	-52531	2.9	29	17	25	0.4	-33	4358	0.14	0	
"Mexico"	60953	-53163	2.1	166	61	66	0.02	-49	3005	0.64	0	
"United Kingdom"	45942	-22507	1.6	2	107	3	9.1	-10	3202	0.12	0	
"Israel"	41959	-38841	1.5	27	337	10	1.6	1	6781	0.17	0	
"China"	40872	-6893	1.4	19	401	8	3.4	-1	7203	0.09	0	
"Spain"	40397	30907	1.4	13	48	6	3.7	-6	2323	0.15	0	
"Korea, Republic of"	39368	-39357	1.4	86	18	12	1.5	-11	7449	0.15	0	
"Japan"	37806	-37530	1.3	238	46	17	1.1	-25	9485	0.53	0	
"Switzerland"	35786	-35495	1.2	54	-45	14	1.3	-1	4219	0.2	0	
"Belgium"	33599	8544	1.2	109	76	24	0.5	-12	3686	0.2	0	
"Austria"	26675	-26396	0.9	102	77	21	0.9	-6	3335	0.12	0	
"Czech Republic"	8580	-8569	0.3	84	42	28	0.4	-4	2268	0.12	0	
"Morocco"	4053	-4051	0.1	657	59	19	0.9	12	1767	0.9	0	
"India"	4025	-3998	0.1	236	55	26	0.4	-3	9039	0.2	0	
"Netherlands"	3136	237020	0.1	42	13527	15	1.3	-3	5509	0.17	0	
"Malaysia"	3053	-3050	0.1	240	10972	18	1	-11	8130	0.13	0	
"Singapore"	2313	-1772	0.1	50	112	7	3.5	-13	6930	0.07	0	
"Indonesia"	1990	-1989	0.1			45	0.07	-9	7408	0.1	0	
"Hong Kong, China"	1988	-1919	0.1	166	332	22	0.8	3	2788	0.36	0	
"Argentina"	1653	150	0.1	-10	-20	167	0	-66	8608	1	0	
"Poland"	1470	13	0.1		28	30	0.3	-19	5131	0.12	0	
"Viet Nam"	1265	-1259	0	110	5914	20	0.9	29	4888	0.32	0	
"Denmark"	980	-974	0	103	30	35	0.2	1	5281	0.18	0	
"Taipei, Chinese"	956	-872	0	140	2171	32	0.3	-12	9322	0.2	0	
"Ireland"	704	-703	0	88	321	11	1.5	-20	6655	0.19	0	
"Chile"	623	6715	0		4	27	0.4	45	7145	0.25	0	
"Russian Federation"	590	-575	0	7	65	37	0.2	-18	5125	0.25	0	
"Sri Lanka"	232	-232	0	16	1177	72	0.01	-28	7347	0.18	0	
"Tajikistan"	174	-174	0			158	0	270	11035	0.54	0	
"Slovenia"	154	-154	0		9778	47	0.06	-6	2099	0.35	0	
"Türkiye"	135	391	0	-20	661	16	1.2	15	4435	0.06	0	
"Angola"	115	-51	0			136	0	-11	3059	0.76	0	
"Thailand"	108	-106	0		406	13	1.4	22	4047	0.13	0	
"Norway"	101	465	0	176	12	38	0.2	-19	3839	0.2	0	
"Australia"	88	6	0	-13	172	23	0.7	-13	11741	0.29	0	
"Uruguay"	75	18	0			111	0	59	7258	0.53	0	
"Ukraine"	72	-72	0	-20	451	65	0.02	-16	4384	0.27	0	
"Hungary"	42	-20	0		313	43	0.10	-16	1055	0.74	0	
"South Africa"	39	902	0	-35	40	39	0.2	-5	9415	0.18	0	
"Philippines"	24	32	0	-29		31	0.3	-21	8624	0.15	0	
"Romania"	22	-22	0	24	-66	29	0.3	4	2094	0.23	0	
"United Arab Emirates"	14	591	0			36	0.2	-12	5503	0.13	0	
"Tunisia"	12	-12	0	-39		40	0.1	-7	1778	0.78	0	
"Colombia"	10	1229	0	-15		49	0.05	18	2981	0.41	0	
"New Zealand"	8	-8	0	-77		63	0.02	-5	10936	0.25	0	
"Armenia"	5	-4	0			109	0	164	1803	0.96	0	
"Bulgaria"	3	119	0			48	0.06	35	1901	0.18	0	
"Slovakia"	3	27	0		37	61	0.03	11	2081	0.26	0	
"Finland"	2	0	0		54	44	0.09	29	5081	0.22	0	
"Samoa"	2	-2	0			174	0		16957	0.9	0	
"Georgia"	1	94	0			76	0	27	5057	0.21	0	
"Latvia"	1	-1	0			59	0.03	-21	2803	0.22	0	
"Estonia"	1	-1	0			70	0.01	42	3008	0.12	0	
"Barbados"	1	-1	0	-22		118	0	12	4377	0.46	0.1	
"Egypt"		74010				107	0		5037	0.3	0	
"Costa Rica"		68886				92	0	79	4180	0.4	0	
"Peru"		6911				93	0	1	5503	0.76	0	
"Nigeria"		2113				62	0.03	20	1596	0.66	0.1	
"Ecuador"		1535				51	0.04	8	3750	0.23	0	
"Burkina Faso"		859				94	0	-17	2655	0.37	0.1	
"Turkmenistan"		215				64	0.02	102	4329	0.5	0	
"Paraguay"		149				95	0	-25	5765	0.45	0	
"Kazakhstan"		147				68	0.02	32	3148	0.42	0	
"Iceland"		105				89	0	40	1667	0.77	0	
"Jordan"		63				54	0.04	-30	7753	0.34	0	
"Panama"		41				88	0	-1	9249	0.79	0	
"Lithuania"		38				52	0.04	5	4345	0.07	0	
"Kenya"		37				128	0	4	1852	0.25	0	
"Guyana"		31				173	0	-80	3532	0.57	0.1	
"Mauritania"		29				187	0	-50	4625	0.42	0.1	
"Mali"		28				157	0	-6	5131	0.35	0.1	
"French Polynesia"		27				67	0.02	23	14354	0.41	0	
"Maldives"		15									0	
"Niger"		12				119	0	10	3389	0.41	0.1	
"Bolivia, Plurinational State of"		6				104	0		17718	0.57	0	
"Guatemala"		4				113	0	-14	3239	0.48	0	
