Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	265270	311976	730825	327767	304202	164382	138331	94198	125975	117098	
"China"	80374	150407	490353	54748	122069	49152	43630	15441	34253	24092	
"South Africa"	6636	6852	10822	17663	15958	7593	18259	7450	12513	17101	
"United States of America"	67963	51520	62674	22598	17849	15868	17847	14665	12649	15826	
"Italy"	8597	21779	19485	16210	18996	12667	11958	17873	12629	12961	
"France"	4937	1998	686	6859	5158	11351	1327	2619	5811	12013	
"Netherlands"	379	1212	421	1380	4225	5569	2585	2451	9038	4826	
"Brazil"	22437	11243	17215	144408	66279	3336	2210	2210	2782	3925	
"Hong Kong, China"	7568	6537	32170	3358	14626	5009	8796	6044	6976	3288	
"Germany"	9135	6422	7199	15408	6223	6029	9897	6027	6246	3275	
"British Virgin Islands"	5774	4627	4128	2239	3295	3235	0	0	934	2051	
"United Kingdom"	2279	3787	3008	2677	1632	2134	2299	1610	2323	1857	
"Macedonia, North"	57	151	84	135	151	134	383	319	1583	1253	
"Bermuda"	0	0	0	0	223	28	2	20	28	1162	
"India"	1490	4230	4506	2357	5347	5643	6284	1265	599	1133	
"Taipei, Chinese"	45	1575	2333	1798	1774	1219	1888	1326	359	990	
"Austria"	1926	3900	5160	2506	7478	6606	2229	1143	943	880	
"Serbia"	0	0	0	0	0	0	0	1	1333	835	
"Barbados"	409	1557	1588	1841	2217	1302	1253	1296	1150	784	
"Area Nes"	24	30	58	519	65	333	241	1774	311	777	
"United Arab Emirates"	132	3	72	3	648	16	131	222	41	772	
"Hungary"	98	106	662	869	453	273	133	136	255	702	
"Australia"	27480	18594	7730	10702	1105	15316	414	234	940	672	
"Finland"	1	9	0	56	3	8	3	42	83	577	
"Mozambique"	73	194	637	617	196	148	81	35	413	567	
"Türkiye"	492	2	3	63	213	116	97	145	771	560	
"Belgium"	1071	1184	565	233	1586	2404	433	180	229	538	
"Singapore"	375	382	1077	645	191	162	408	210	367	533	
"Czech Republic"	125	377	87	265	151	221	232	392	777	504	
"Sierra Leone"	31	0	0	1	0	121	0	0	2	438	
"Bulgaria"	158	0	102	50	275	323	176	330	79	354	
"Canada"	629	176	360	511	301	119	294	302	203	341	
"Côte d'Ivoire"	0	0	1	0	0	0	0	0		251	
"Poland"	158	79	5	137	57	265	37	3082	1774	203	
"Spain"	692	4859	48586	383	86	356	542	88	55	113	
"Mexico"	4195	568	561	3372	111	99	67	62	60	96	
"Denmark"	111	501	348	374	118	59	234	30	281	76	
"Sweden"	1345	1456	581	496	217	100	117	59	297	70	
"Bahrain"	0	0	0	161	335	773	792	868	1408	66	
"Bosnia and Herzegovina"	0	0	1	17	18	75	7	24	8	65	
"Zimbabwe"	2	1	0	1	475	2	258	2	83	61	
"Thailand"	1111	702	639	592	939	1706	551	898	28	48	
"Ghana"	0	99	159	28	21	1	1	4	1	44	
"Japan"	2606	624	4	4	5	432	12	3	14	44	
"Eswatini"	1	2	3	12	2	1	1	7	3	42	
"Israel"	0	189	6	1	1	1	5	8	1	41	
"Sri Lanka"	0	0	0	0	0	0	0	0		40	
"Ireland"	168	4	0	2	0	9	6	6	32	39	
"Uganda"	0	0	0	0	0	0	0	0		37	
"Tanzania, United Republic of"	20	65	0	5	1	0	0	0	46	23	
"Viet Nam"	0	0	23	9	3	10	1	0	1	22	
"Senegal"	11	0	3	104	55	0	2	20	60	20	
"Korea, Republic of"	186	296	130	19	295	97	124	115	67	17	
"Luxembourg"	0	0	0	0	0	0	0	0		12	
"Norway"	0	9	87	17	16	43	17	854	522	12	
"Lesotho"	1	0	4	1	4	3	25	6		9	
"Switzerland"	2163	1951	3947	1992	1717	3279	1243	1919	1236	9	
"Ukraine"	0	0	0	2	0	5	0	174		9	
"Botswana"	28	27	68	38	8	29	1	14	9	6	
"Central African Republic"	0	0	0	0	0	0	0	0		6	
"Namibia"	255	97	7	696	77	54	69	7	7	6	
"Slovakia"	0	0	0	8	0	0	24	0	15	5	
"Croatia"	0	0	5	34	24	94	21	19	404	4	
"Cameroon"	0	0	8	7871	0	0	2	2	1	3	
"Congo"	143	0	4	0	0	35	0	0		3	
"Zambia"	5	19	6	102	48	6	2	1	2729	3	
"Malta"	50	20	123	31	46	19	61	2		2	
"Nigeria"	0	0	2	2	4	0	53	0	4	2	
"Malaysia"	244	442	21	15	100	48	40	4	12	1	
"Slovenia"	0	0	0	0	0	0	0	0		1	
"Madagascar"	65	0	164	3	11	0	0	3	15	0	
"New Zealand"	4	464	499	1	4	18	0	0	4	0	
"Russian Federation"	0	0	0	0	31	0	0	0		0	
"Equatorial Guinea"	0	0	0	0	0	5	0	0			
"French Southern and Antarctic Territories"	0	0	0	13	0	0	0	0			
"Korea, Democratic People's Republic of"	0	0	4	0	0	0	0	0			
"Niue"	0	0	0	0	0	1	0	0			
"Norfolk Island"	0	0	326	0	0	0	0	0			
"Saint Helena"	0	0	0	1	0	0	0	0			
"Special categories"	25	13	0	0	0	0	0	0			
"Angola"	69	30	3	71	6	0	49	0	1		
"Argentina"	336	236	198	203	279	207	191	72	11		
"Bahamas"	1	0	69	3	0	0	0	0			
"Bangladesh"	0	0	0	0	1	1	0	0			
"Bolivia, Plurinational State of"	0	0	0	0	0	12	0	0			
"Cambodia"	1	0	0	0	0	0	0	0			
"Chile"	0	1	0	0	0	0	0	24	14		
"Colombia"	0	0	0	0	7	11	0	0			
"Congo, Democratic Republic of the"	2	6	2	0	27	2	0	0			
"Cyprus"	0	0	0	0	5	17	18	55	1		
"Benin"	0	0	7	1	0	0	0	0			
"Ethiopia"	0	111	0	0	0	0	0	0			
"Estonia"	0	0	0	1	0	0	0	0	37		
"Gabon"	0	0	0	0	0	0	0	0			
"Georgia"	0	0	0	3	0	0	0	1			
"Greece"	0	0	3	0	0	5	12	0			
"Guinea"	0	0	0	3	0	0	7	0			
"Iceland"	0	0	0	3	0	0	0	0			
"Indonesia"	0	6	120	191	221	59	9	3			
"Iran, Islamic Republic of"	0	0	0	1	0	0	0	0			
"Iraq"	0	0	3	0	0	0	0	0			
"Jamaica"	0	102	0	0	0	0	0	0			
"Jordan"	0	0	0	0	3	3	0	0			
"Kenya"	119	0	17	3	1	0	0	0			
"Lithuania"	0	0	0	0	0	0	0	0	106		
"Macao, China"	0	0	0	0	0	0	1	0			
"Malawi"	1	0	0	0	84	0	0	0			
"Mali"	7	12	0	0	0	0	0	0			
"Mauritius"	0	0	0	5	20	0	27	0	0		
"Pakistan"	376	106	13	1	1	0	0	0			
"Panama"	4	0	0	0	0	0	0	0			
"Peru"	0	0	0	0	27	0	0	0			
"Philippines"	0	0	0	2	0	0	0	0			
"Portugal"	0	23	5	2	0	0	0	0			
"Qatar"	0	0	0	0	1	0	0	0			
"Romania"	0	0	852	0	1	0	211	0			
"Rwanda"	0	0	0	0	0	0	0	0			
"Saudi Arabia"	0	0	0	0	2	0	0	0			
"Sudan"	0	0	0	6	0	0	0	0			
"Togo"	0	0	0	1	0	0	0	0			
"Trinidad and Tobago"	68	0	0	0	0	0	0	0			
"Tunisia"	0	0	25	0	0	0	0	0	6		
"Egypt"	0	0	0	1	0	0	0	0			
"Venezuela, Bolivarian Republic of"	0	0	0	1	0	0	0	0			
