Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	62187	96407	149082	226889	358456	528275	639303	511810	795969	1042900	1084618	1147717	1232628	1479862	1462388	1744253	1849116	1700967	1053706	1337481	
"China"	17053	23399	49750	89524	150377	234744	278087	241776	369619	521268	558032	601466	674740	914275	878956	1101384	1051291	967794	572160	716496	
"Germany"	4234	7952	6947	10808	15693	34161	48951	38738	68314	103864	92685	93949	85025	91077	86287	89729	116259	87406	46988	75276	
"Malaysia"	8705	14391	28101	34545	56972	68800	64641	39656	58552	69604	70956	73155	78942	79482	92899	103083	106125	101120	66770	65520	
"Italy"	5020	6775	8450	11942	19526	30706	40618	29544	43397	51709	61930	68652	63927	62651	65552	82004	80942	77939	50310	64603	
"Korea, Republic of"	333	1248	1870	4396	4257	6824	5686	6852	20831	15161	17605	37844	30037	49192	51678	43068	51718	60452	51878	48409	
"Thailand"	1244	1945	4381	7930	11101	17875	25115	13888	33028	28750	26362	29136	32677	32648	27851	29913	34419	30727	21948	45379	
"United States of America"	4012	6888	8243	11304	18356	16947	27598	20587	35194	36124	49534	41868	54039	51936	45387	50653	54830	50140	39896	42820	
"Singapore"	1035	3034	6098	7721	15886	16892	19689	18759	16514	21468	19395	10471	12141	14812	16161	17167	35836	40023	19360	32048	
"Sri Lanka"	961	1491	3418	4815	5706	7397	9569	7006	9977	13143	13653	16806	16452	18333	18785	21607	26382	28394	20467	29636	
"Hong Kong, China"	1070	1355	1873	3559	7692	9208	11712	8447	8688	10546	11766	10200	18257	13053	13932	10983	42575	51133	27498	25247	
"Japan"	1110	1319	1170	1817	3656	4339	4120	2908	4600	9779	15022	10587	15570	15763	16052	20171	23105	19352	12396	20443	
"France"	1796	5679	3407	3342	3182	3570	6690	4688	6956	7205	8226	15271	14228	7653	8849	11074	20287	10901	7081	17793	
"United Kingdom"	1637	2676	2371	4485	7896	13466	13934	8360	14566	12935	13124	19498	23091	22233	19291	27951	36121	31241	20919	17453	
"Viet Nam"	27	40	36	212	1901	517	495	597	929	1640	3416	2265	1773	1251	1421	3732	4557	5855	5671	15300	
"United Arab Emirates"	1758	2655	3349	6147	6213	10768	7438	10811	12294	21375	22257	16912	15722	13311	10488	9510	15933	11252	7208	14732	
"Indonesia"	978	735	1444	3039	3167	4284	4840	4340	7667	9234	10241	11454	9221	9217	18065	17471	19519	16159	9123	13525	
"Türkiye"	104	226	274	441	980	2247	1725	4012	4054	2579	4063	3929	3611	4976	6873	8777	11117	11088	7746	13491	
"Spain"	914	1154	1136	1860	3850	3895	4196	3520	8244	16026	8331	17665	13984	11830	11585	16498	15416	15680	7160	8984	
"Netherlands"	284	862	442	1625	580	4064	2954	1513	2671	2714	2936	4304	2268	2916	4191	4401	6821	5354	4901	6597	
"Czech Republic"	454	347	308	631	333	11974	16817	13568	16671	17470	11914	6933	7475	10501	8953	12480	5583	2257	4082	6565	
"Canada"	142	326	2987	652	1672	1691	1920	2038	2711	3743	2650	3567	5906	2822	6647	1848	3309	9214	3017	6326	
"Poland"	42	260	46	226	343	113	838	2055	2106	3659	2346	4517	4553	4942	7291	6681	12670	11997	7520	6251	
"Taipei, Chinese"	1376	1797	2360	2927	6026	6508	8058	5956	10807	11583	11676	8702	9265	11721	8377	9895	9025	7383	5687	5868	
"Belgium"	335	522	357	419	554	958	1676	1645	2786	2855	3018	3189	2404	2900	2718	3898	11996	9746	5291	5724	
"Bangladesh"	2	10	95	388	266	412	450	764	2632	1254	1301	1087	768	1091	605	1371	2099	3265	3135	4972	
"Austria"	597	1349	865	784	754	973	1762	940	1806	3885	8491	3364	2324	2448	4778	3210	7663	2098	2931	3488	
"Israel"	28	182	61	959	717	282	4332	513	978	4117	1323	610	1788	1357	1140	588	287	417	500	2536	
"Finland"	164	171	408	1261	245	1192	1857	1207	954	1220	997	5381	1012	1188	1046	1289	2173	2470	2544	2475	
