Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	44533	65947	38706	35574	27970	76840	56604	131868	158618	208364	
"Italy"	1355	1080	1935	1713	889	2200	4351	6897	9920	45821	
"Germany"	504	665	1956	168	149	868	209	986	930	37912	
"United States of America"	7481	18222	5266	4014	2348	7153	8216	13380	19143	33410	
"Austria"	768	2731	1867	761	1850	10038	16906	23942	12338	18154	
"Slovakia"	0	116	38	15	8	3	15	13	6415	17578	
"China"	7801	7732	7014	5565	6927	7285	7037	6858	9317	10196	
"Türkiye"	1528	1037	1316	1046	933	1051	2108	12282	17749	9349	
"Israel"	61	7306	7849	619	118	168	878	995	2867	9038	
"Sweden"	0	5320	1211	1610	2160	6906	1034	245	12734	4803	
"Taipei, Chinese"	770	923	1482	1347	2516	4256	2306	2105	3467	3795	
"Spain"	12598	6803	2885	1565	565	476	838	2115	1869	3711	
"Slovenia"	0	0	0	0	0	1	1	603	2333	3016	
"Argentina"	1580	1435	1024	777	839	1326	1567	1763	3212	2733	
"Czech Republic"	418	389	14	63	171	218	165	744	6385	2492	
"France"	2361	5534	2432	10605	5237	32345	3604	49203	34390	1938	
"Philippines"	130	23	65	30	82	21	0	0		791	
"Brazil"	0	1341	0	995	2	0	0	314		647	
"Croatia"	0	0	0	0	0	0	0	9	730	589	
"United Kingdom"	712	457	520	725	2211	1500	601	378	299	461	
"Japan"	35	98	22	2	101	140	58	180	239	396	
"Belgium"	563	1097	1009	1359	361	207	3326	215	5841	319	
"Korea, Republic of"	298	193	267	128	88	29	1867	6816	2928	316	
"Mexico"	0	0	0	0	0	0	0	0	67	216	
"Portugal"	0	3	0	0	0	0	12	0	617	199	
"India"	366	0	39	0	104	218	1	272	238	127	
"Uruguay"	0	0	0	0	60	0	344	0	2323	106	
"Netherlands"	0	0	0	0	0	0	0	0		59	
"Hong Kong, China"	265	837	286	289	190	303	158	202	50	42	
"South Africa"	0	0	23	121	1	2	0	1	2	36	
"Canada"	224	153	28	29	38	32	4	11	279	29	
"Serbia"	0	0	0	0	5	0	57	0		26	
"Hungary"	5	0	0	1	0	19	15	0	32	21	
"Finland"	84	0	71	18	3	73	2	325	885	14	
"Macao, China"	0	0	0	0	0	0	0	0		10	
"Luxembourg"	0	0	0	0	0	0	0	0		7	
"Switzerland"	1730	2445	0	4	0	0	107	473	1012	4	
"Romania"	0	0	0	0	0	0	19	0	1	2	
"Pakistan"	0	1	0	0	0	0	0	0		0	
"Australia"	0	0	16	0	0	0	0	0			
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	30			
"Bulgaria"	0	0	0	0	0	0	0	0	0		
"Chile"	0	0	0	0	0	3	66	0			
"Colombia"	39	0	0	0	0	0	0	0			
"Denmark"	9	0	0	2	0	0	0	8			
"El Salvador"	0	0	0	0	0	0	0	0			
"Estonia"	0	0	0	0	0	0	18	0			
"Greece"	0	6	0	0	0	0	0	0			
"New Zealand"	0	0	46	0	0	0	0	76			
"Russian Federation"	2848	0	0	2004	14	1	0	0	3		
"Singapore"	0	0	24	0	0	0	712	428			
