Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	809478	764099	781312	693223	710006	782150	747528	518399	703578	671904	
"China"	446913	412995	413566	346087	358215	403038	386755	285523	380948	337906	
"Poland"	20726	17551	19215	18441	21266	18828	17847	13196	30083	46368	
"Germany"	63949	53329	56443	49709	49695	47538	47784	26356	34218	34129	
"Thailand"	33835	25942	23911	21684	25846	34240	25379	21663	28352	28669	
"Italy"	28450	28077	31663	31394	32544	31968	29340	19829	27177	23020	
"Spain"	7576	8770	8053	8181	10853	24099	23316	11603	21729	15987	
"Viet Nam"	9626	12452	15933	9960	12147	16110	14968	9727	11495	14322	
"Czech Republic"	10800	13737	12215	18329	17653	13041	13537	10939	12635	13734	
"Malaysia"	21084	20448	21414	14400	14840	19963	17975	12838	9734	13060	
"Hungary"	7550	10830	10214	9495	9898	16728	17241	9166	15807	13010	
"Japan"	2212	2115	4793	8210	8644	8514	9072	7353	10905	11828	
"United States of America"	21726	21489	18309	17893	16687	17594	15262	8956	11586	11733	
"India"	14783	13433	13085	9134	8644	10545	10197	5680	8390	11110	
"Mexico"	3751	3479	4911	4988	4692	9482	10939	7233	9348	10320	
"Indonesia"	13593	11653	10426	8340	8302	9628	9011	6154	8327	8702	
"Türkiye"	8080	8767	6793	4421	4372	6513	5540	4050	7390	8507	
"Brazil"	2811	2128	4197	3741	5059	3668	3792	3924	6927	7775	
"United Kingdom"	15400	15679	11690	13238	12414	12590	13508	4453	6565	7462	
"Romania"	587	1877	2793	3285	4449	6098	5723	3386	5181	5579	
"France"	8380	8489	9259	7877	5891	7037	9212	3989	4778	5340	
"Pakistan"	5806	4900	4949	5551	5160	5307	5576	5189	3558	4566	
"Taipei, Chinese"	7731	7597	7584	7625	6583	5662	5227	4187	3197	4223	
"Slovenia"	478	247	133	914	1197	4901	6039	3828	5108	3909	
"Morocco"	126	101	80	54	430	1779	2184	1494	3263	3308	
"Israel"	1709	1997	2228	1798	1326	2051	2140	1857	2574	2807	
"Finland"	1992	1992	2123	2987	2272	3073	2267	1594	3043	2614	
