Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	1057979	1043437	973478	896428	909486	1076187	1035156	823565	958063	1253015	
"China"	133190	138602	130678	138290	134629	135144	148968	88500	108389	177735	
"Germany"	158429	150417	146777	131705	132004	153094	165028	145587	170754	174692	
"Finland"	95010	101540	81089	80954	76428	91435	91731	53184	73217	96121	
"Brazil"	28724	32843	32597	34342	44475	72448	76888	74547	61023	63068	
"Austria"	56727	66951	67748	40995	35910	34119	37999	35888	45370	60558	
"Italy"	48937	49429	42243	39184	39400	49365	47759	37720	42248	58641	
"Indonesia"	31147	29454	22146	21047	22574	31509	42972	24513	27997	57667	
"India"	22292	27976	29038	26574	34040	40241	36083	23759	29786	47339	
"Netherlands"	11011	7956	7662	9588	8528	12828	12701	16444	23653	42071	
"United States of America"	58392	64996	50314	42640	40625	39027	38096	31095	28785	39782	
"Korea, Republic of"	49532	38549	35755	35107	34646	37169	28599	20914	24130	37850	
"Sweden"	84560	90020	63126	67997	65565	85755	48050	32767	29040	34268	
"Pakistan"	1444	5762	7122	8525	8594	5945	7759	18760	27554	31077	
"Spain"	31047	24545	15747	14656	16213	18610	20535	24127	28967	29663	
"Poland"	14691	13660	16619	14927	14308	19571	25056	17291	19567	27890	
"Australia"	33984	18763	24620	17859	14981	22903	15154	21069	27514	27879	
"Belgium"	17486	10596	13866	14762	8821	8692	14984	8866	11758	25494	
"Russian Federation"	3078	1858	3808	3385	8874	33368	25248	15638	10436	22750	
"France"	29789	26494	28295	27638	29011	27438	24426	19095	20413	19971	
"United Kingdom"	23100	20814	24819	21433	25781	20230	17884	15835	18599	18505	
"Bulgaria"	4646	4727	4527	4790	6475	7643	8617	2411	7480	15165	
"Eswatini"	4385	5707	11303	871	41	73	43	1906	2054	13951	
