Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"World"	4255559	12405793	100	20	-6		100	11				
"China"	2053352	-600725	48.3	33	15	1	13.9	17	6179	0.04	11.3	
"Korea, Republic of"	255955	-4485	6	8	11	4	5.1	5	6092	0.06	11.3	
"Germany"	201637	-105303	4.7	14	47	2	6.6	8	1620	0.06	11.3	
"India"	177471	-71547	4.2	19	6	14	2.5	23	7027	0.06	11.3	
"Austria"	169821	-165398	4	-5	225	18	1.7	6	1487	0.15	11.3	
"Türkiye"	156803	196586	3.7	60	-46	13	2.6	11	3534	0.03	11.3	
"Sweden"	117687	-84763	2.8	23	38	20	1.6	6	3026	0.07	11.3	
"United States of America"	109784	6857728	2.6	3	-29	9	3.8	8	5128	0.2	11.3	
"Italy"	96100	180495	2.3	14	11	7	4	12	1548	0.09	11.3	
"Japan"	95353	249165	2.2	9	-17	3	6.3	6	4791	0.09	11.3	
"Indonesia"	94719	-94687	2.2	80	30	5	5	52	4693	0.48	11.3	
"Russian Federation"	82274	-79314	1.9	16	-84	8	3.9	5	4045	0.09	11.3	
"Norway"	67759	-65265	1.6	13	45	37	0.4	13	2018	0.09	11.3	
"Viet Nam"	55643	-1737	1.3	186	-40	21	1.5	31	7066	0.07	11.3	
"France"	50653	138787	1.2	2	3	10	3.4	6	1379	0.11	11.3	
"Belgium"	49484	437559	1.2	4	71	6	4.5	7	1235	0.15	11.3	
"Argentina"	44491	970129	1	11	-14						0	
"Spain"	41905	130275	1	4	-16	16	2	8	1836	0.1	11.3	
"United Kingdom"	41576	75735	1	0	-14	19	1.7	6	3273	0.06	11.3	
"Egypt"	31415	-31385	0.7	220	-56	45	0.2	13	2909	0.09	11.3	
"Netherlands"	27870	838412	0.7	1	12	12	2.8	5	1771	0.12	11.3	
"Hong Kong, China"	25560	8825	0.6	74	147	50	0.2	-3	1548	0.24	11.3	
"South Africa"	24861	42099	0.6	-22	-20	25	1.2	3	8057	0.09	11.3	
"Paraguay"	22531	70050	0.5	93	135	95	0.01	55	4855	0.2	0	
"Chile"	20970	238397	0.5	-6	73	56	0.1	12	6385	0.28	0	
