Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	4372835	4308836	4046924	3944807	4985629	6201171	5272058	7335795	8828396	6978837	
"Russian Federation"	101431	100053	82222	91245	103925	221682	182126	368948	622300	862758	
"Japan"	614646	565699	490743	521488	608882	710315	573705	703405	873982	809791	
"United States of America"	928128	963281	901148	798078	868137	1018429	776758	865423	800231	707224	
"Taipei, Chinese"	323114	310459	270581	260915	369943	459792	435237	512433	559992	645841	
"Lao People's Democratic Republic"	17	0	0	0	31	2	53	55	451731	489669	
"Indonesia"	104372	125586	171561	177116	418532	660458	441802	1031052	1097621	457124	
"Sweden"	463148	464402	431794	409942	497461	576177	525215	566589	645193	455584	
"Korea, Republic of"	345534	256279	241237	237176	355633	391459	353665	448223	509613	408012	
"Malaysia"	19699	19583	13968	18319	31572	31998	49368	109730	382131	405204	
"Viet Nam"	11482	12204	14266	11048	108386	215051	216334	380869	372032	349149	
"Germany"	238103	251021	216494	246509	279821	304666	258123	287841	291400	231074	
"Thailand"	60998	79087	74254	70199	124313	161106	155237	219253	212496	144704	
"Canada"	27522	27032	31478	42393	74830	138871	150426	167021	260912	137406	
"France"	89516	88513	82733	77400	85032	101921	89948	112375	123946	113257	
"Italy"	125641	112325	97622	97828	105023	108702	81437	109780	133060	98864	
"Australia"	83950	89985	85709	99153	113494	149144	113982	114757	92625	92293	
"Austria"	62356	82906	92032	75762	73340	77268	82664	92890	86581	91563	
"China"	211173	196729	167804	151709	164581	170545	154461	132006	148681	86095	
"Finland"	154131	152147	129868	118553	109940	146847	105586	90837	134565	77235	
"United Kingdom"	55882	56381	51362	54539	49879	50437	51033	56775	54150	44718	
"India"	3326	3359	2389	2056	17189	98261	76881	236060	436103	34450	
"Switzerland"	26341	23383	33168	31633	28375	23616	34384	36209	37336	33680	
"New Zealand"	52712	52659	44948	43161	34924	49135	36184	36446	43895	27622	
"Brazil"	88194	91659	124211	135376	110324	60188	59361	92683	71044	24360	
"Poland"	4318	6826	9817	8975	17418	30370	22932	66875	45291	20840	
"Hong Kong, China"	50237	44427	38616	33353	29560	34259	31232	16662	17456	13662	
"Belgium"	23815	17378	13704	17016	33150	25857	13802	25121	38951	12566	
"Singapore"	9242	10497	11348	16532	11965	8774	7825	12989	10697	12338	
"Netherlands"	24272	24034	40345	25308	24317	30926	30207	35476	27865	11245	
"Spain"	18280	18693	16647	13499	24661	18780	34020	97431	69076	9790	
"Denmark"	13239	12020	9321	10647	8831	10285	11878	10630	12862	9540	
"Czech Republic"	2892	2330	8552	7803	6483	3737	5540	11541	12924	6567	
"South Africa"	3216	2478	3843	4251	7619	6402	4576	28175	6714	6055	
"Norway"	3956	3254	5011	3672	2247	5016	2386	22288	28525	5993	
"Portugal"	2071	1554	1533	1860	1555	3892	1901	2887	7920	4934	
"Hungary"	978	1000	426	451	956	1623	8310	5178	4543	4097	
"Türkiye"	2691	3889	3181	2499	25718	5424	22285	82900	16340	3798	
"Ukraine"	258	1790	6546	5276	4706	4306	3833	3525	3713	3362	
"Philippines"	260	387	890	2622	1884	1553	571	256	1096	2583	
"United Arab Emirates"	194	171	201	193	10452	28734	22457	47989	18307	2572	
"Ireland"	4489	7368	4986	4708	2059	1251	1359	1518	2147	2447	
"Malta"	2	7	0	1	3	375	2489	3327	2410	2402	
"Israel"	522	484	499	656	1753	2476	4702	9193	2828	1952	
"Kazakhstan"	5	19	148	20	22	9	1767	1117	73	1648	
"Chile"	350	250	108	18	1057	2978	3731	13297	14966	1643	
"Slovenia"	2597	4129	3016	1225	5030	6388	1342	2874	7915	1197	
"Mexico"	3132	2832	5447	3389	3637	3473	2322	2411	1878	1063	
"Luxembourg"	710	669	1073	1384	2472	2565	3110	1711	1460	1025	
"Myanmar"	62	3	7	0	73	38	62	98	203	992	
"Pakistan"	46	84	91	337	2031	4499	1052	562	1251	939	
"Albania"	460	0	1	8	13	296	275	514	1136	813	
"Tunisia"	0	51	12	178	485	447	286	150	464	701	
"Bangladesh"	30	46	58	45	142	3356	373	95	1019	658	
"Bulgaria"	4033	10607	2784	287	209	917	1005	3521	2025	385	
"Serbia"	14	557	672	193	192	160	226	508	440	385	
"Estonia"	191	3	320	725	569	489	214	536	607	339	
"Sri Lanka"	1177	1619	1636	1673	1903	3076	247	1854	248	296	
"Qatar"	23	19	14	12	29	1079	491	2784	866	263	
"Nepal"	98	62	91	76	45	65	60	43	180	247	
"Slovakia"	1577	1603	1492	979	910	1071	783	707	401	246	
"Greece"	82	71	220	36	25	82	59	286	107	208	
"Latvia"	1	12	2	2	40	14	18	33	6	193	
"Croatia"	29	2	103	161	76	34	114	618	171	163	
"Cambodia"	61	74	15	51	144	42	19	85	115	154	
"Lithuania"	759	921	745	656	466	761	823	2639	511	110	
"Costa Rica"	103	75	77	129	110	111	110	109	156	93	
"Romania"	140	149	395	252	136	93	227	496	87	93	
"Argentina"	181	126	70	33	865	2331	1143	654	346	81	
"Mauritius"	3	6	13	8	26	36	80	37	99	74	
"Lebanon"	1	3	1	0	7	9	18	69	502	68	
"Uzbekistan"	0	0	0	0	12	110	0	0	4	68	
"Colombia"	7	668	511	315	422	485	414	21	1199	63	
"Saudi Arabia"	50	404	31	49	9501	3721	11249	39404	13230	40	
"Uganda"	122	0	2	0	157	223	296	58	18	37	
"Area Nes"	89	151	39	361	60	159	238	122	65	34	
"Morocco"	0	2	109	5	5	9	7	31	2	17	
"Belarus"	27	79	105	79	282	145	494	96	124	15	
"Bosnia and Herzegovina"	0	5	243	768	2050	2970	1293	2223	330	8	
"Dominican Republic"	14	2	15	11	3	1	2	1	2	7	
"Peru"	13	1	2	4	5	1	9	9	11	7	
"Ethiopia"	22	13	11	14	22	19	26	42	5	6	
"Egypt"	15	15	11	8	20	329	47	10	4529	6	
"El Salvador"	0	1	8	27	0	2	0	1	15	5	
"Macao, China"	90	67	34	24	13	21	35	2	5	4	
"Mauritania"	0	0	0	0	0	0	0	0		4	
"Kenya"	17	47	10	2	14	4	1	2	4	3	
"Zambia"	0	0	0	0	0	0	0	0	1	3	
"Gibraltar"	0	0	0	0	0	0	0	0		2	
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	0		2	
"Ecuador"	0	4	2	8	217	69	3	1	5	2	
"Fiji"	0	0	0	0	3	27	3	0	2	2	
"Iran, Islamic Republic of"	3	1	2	148	2567	6257	15	1	4	2	
"Mongolia"	0	0	0	7	0	1	1	0		2	
"Suriname"	0	0	0	0	0	0	0	0		2	
"Guatemala"	0	0	3	0	6	1	0	7	2	1	
"Tanzania, United Republic of"	0	1	0	1	1	2	0	0	1	1	
"Oceania Nes"	0	0	0	0	0	1	4	1	1	0	
"Turkmenistan"	0	0	0	0	0	0	0	0	0	0	
"Antigua and Barbuda"	0	0	0	0	0	0	0	0	0	0	
"Azerbaijan"	0	0	0	0	0	0	0	0		0	
"Bahrain"	0	0	0	5	4	0	1	0	0	0	
"Armenia"	0	0	0	0	0	0	0	8	2	0	
"Burundi"	0	0	0	0	0	0	0	0		0	
"Cyprus"	0	1	1	4	0	3	2	2	0	0	
"Georgia"	2	2	0	28	5	0	2	1	1	0	
"Iceland"	0	0	0	0	0	0	2	1	0	0	
"Iraq"	0	0	0	0	1	0	0	0		0	
"Jordan"	8	2	2	0	1	1	0	6	16	0	
"Kuwait"	0	0	0	0	10	0	0	0	1	0	
"Lesotho"	0	0	0	0	0	0	0	0		0	
"Madagascar"	1	0	1	0	0	1	0	0	1	0	
"Moldova, Republic of"	0	0	1	0	1	0	2	0	0	0	
"Namibia"	0	0	0	0	0	1	1	0	0	0	
"Nigeria"	0	1	2	0	0	3	4	0	2	0	
"Panama"	0	0	0	0	0	0	1	0	1	0	
"Paraguay"	0	0	0	0	0	0	0	0		0	
"Uruguay"	0	1	0	3	0	0	1	133	0	0	
"Chad"	0	0	0	0	0	0	0	0			
"Korea, Democratic People's Republic of"	111	33	66	98	597	1994	1650	143			
"America not elsewhere specified"	0	0	0	0	0	0	0	0			
"Afghanistan"	0	0	0	1	0	0	0	0			
"Algeria"	3	5	3	4	4	2	1	14	0		
"Andorra"	0	0	0	0	0	0	0	0			
"Angola"	0	0	0	0	0	0	0	0			
"Bahamas"	1	1	0	0	0	0	0	0			
"Bhutan"	0	0	0	0	0	0	0	0			
"Botswana"	0	0	3	0	0	0	0	0			
"Belize"	0	13	9	0	0	0	0	0			
"Brunei Darussalam"	0	0	0	0	0	1	0	0			
"Cameroon"	0	0	0	0	2	0	0	0			
"Central African Republic"	0	0	0	0	0	0	0	0			
"Congo"	0	0	0	0	2	3	5	0			
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	1		
"Cook Islands"	0	0	1	0	0	0	0	0			
"Cuba"	0	1	0	0	1	0	0	0	0		
"Dominica"	0	3	0	0	0	0	0	0			
"Eritrea"	0	0	0	0	0	0	0	0			
"French Polynesia"	0	0	0	0	0	10	0	0			
"Gabon"	6	0	0	0	0	0	0	0	14		
"Gambia"	0	0	0	0	0	0	0	0	0		
"Ghana"	0	0	0	1	0	0	0	0			
"Kiribati"	0	0	0	0	0	0	0	0			
"Guinea"	0	0	0	0	0	0	0	0	19		
"Guyana"	0	0	0	0	0	0	0	0	1		
"Haiti"	0	0	0	0	0	0	0	0			
"Honduras"	16	1	0	1	0	0	0	0	0		
"Côte d'Ivoire"	1	0	0	0	0	0	0	0			
"Jamaica"	0	0	0	0	13	0	0	0			
"Kyrgyzstan"	0	0	0	0	0	0	0	0	255		
"Liberia"	0	0	0	0	0	0	0	0			
"Maldives"	0	1	1	0	0	0	0	0			
"Mali"	0	0	0	1	0	0	0	0			
"Mozambique"	0	0	0	0	0	0	0	0			
"Oman"	0	0	23	23	2	2	10	0	1		
"Aruba"	0	0	0	0	0	0	0	0			
"New Caledonia"	0	0	0	0	0	0	0	0			
"Nicaragua"	0	0	0	0	0	0	0	13			
"Niger"	0	0	0	0	0	0	0	0			
"Papua New Guinea"	0	0	0	0	0	0	0	0			
"Timor-Leste"	0	0	0	0	0	0	0	0			
"Rwanda"	0	0	0	0	0	0	0	0			
"Sao Tome and Principe"	0	0	0	0	0	1	0	0			
"Senegal"	0	0	0	0	1	4	0	0	0		
"Seychelles"	0	0	0	0	0	0	0	0	4		
"Sierra Leone"	0	0	0	0	0	0	0	1			
"Sudan"	0	0	4	0	0	1	0	0	4		
"Eswatini"	0	0	0	0	0	0	0	0			
"Syrian Arab Republic"	0	0	1	0	0	0	0	0	1		
"Tajikistan"	0	0	0	0	0	1	0	0			
"Togo"	0	0	0	0	0	0	0	0	1		
"Trinidad and Tobago"	0	0	0	4	0	0	0	0			
"Macedonia, North"	0	0	0	0	1	0	0	10	0		
"Venezuela, Bolivarian Republic of"	2	0	0	0	2	0	1	0			
"Samoa"	0	0	0	0	0	55	0	0			
"Yemen"	0	0	0	0	0	0	0	0			
