Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	14869537	15665791	13401530	13718924	14893871	16531248	16096402	17629479	22557240	24540593	
"United States of America"	1841703	2006541	1922898	1956956	2239449	2193111	2152786	2745038	2700126	2921697	
"Netherlands"	1483261	1435488	1109102	1323094	1600265	2004751	1968578	2105284	2651715	2882735	
"China"	338231	395914	322608	338730	339293	393054	383773	633228	2379803	2669465	
"Macedonia, North"	636814	883773	859859	967792	1175076	1390344	1479144	1305340	2044826	2559171	
"Belgium"	1521022	1358507	993332	1019868	1207746	1402500	1331177	1424714	1738835	2050489	
"France"	1629504	1744836	1597388	1563100	1581562	1734563	1620416	1477728	1842504	1750062	
"Poland"	179060	168381	195180	298961	340076	434163	547745	547540	1140527	1343919	
"Italy"	685182	764589	686032	627324	685822	771310	698071	722904	828395	969527	
"United Kingdom"	1331274	1520869	1362630	1223100	1167586	1269257	1267760	1370851	1426457	854643	
"Japan"	778995	809003	721644	790996	713161	675183	708507	629121	723440	843802	
"Ireland"	1120028	1089523	502819	466546	571639	675573	505181	469523	504208	636748	
"Austria"	413688	425549	379088	433871	423789	431951	414566	423906	486980	577913	
"Switzerland"	562398	601926	505841	485473	452665	485690	442291	446795	554235	512498	
"Spain"	350644	359283	391939	381609	367674	409505	350869	313612	435687	412746	
"Korea, Republic of"	132835	136310	119909	111876	116553	97387	128783	723441	521320	387704	
"Malaysia"	261429	285687	231130	246290	280049	256253	207420	201483	165383	346199	
"Czech Republic"	189778	145717	147195	146701	151608	165678	196406	205997	231133	267403	
"Finland"	95075	104456	100533	105245	79847	93990	84543	137640	160733	266209	
"India"	79532	67129	60567	52927	58437	86905	101817	104434	132756	210778	
"Sweden"	170652	172148	138348	142475	157517	156499	133847	133549	170554	171686	
"Canada"	78322	107834	155163	107418	91245	132073	117949	101270	111795	157510	
"Taipei, Chinese"	57860	70103	50267	63800	85696	88279	95381	96089	130036	147835	
"Hungary"	46484	46814	47633	45462	57205	66454	83120	107962	166695	142993	
"Denmark"	120219	139985	102278	104029	118819	122274	101971	109044	139421	142956	
"Israel"	150475	153400	137827	119901	130650	107741	98899	98788	115241	115819	
"Indonesia"	76544	49694	34241	47672	48739	55125	52236	45319	64213	110595	
"Singapore"	48861	72476	52765	38685	53097	62520	56349	42233	37443	109605	
"South Africa"	15129	15282	14772	18450	30517	128027	117135	144643	159802	98439	
"Luxembourg"	39257	40569	37286	32196	32637	43891	36074	71562	82125	91875	
"Bulgaria"	2552	2272	3170	7056	25859	43990	32859	39622	35967	84704	
"Portugal"	66017	74113	63319	79543	57951	41681	44044	44610	71955	80608	
"Philippines"	75579	87082	77636	56146	58968	71522	56353	53232	55842	75217	
"Türkiye"	8514	12463	15392	15397	20238	18043	19705	48541	50182	74220	
"Slovenia"	16503	24630	31232	33287	51202	61310	54426	54073	62719	68513	
"Lithuania"	18178	15986	11466	16956	16759	32264	40672	50907	84729	50204	
"Slovakia"	36703	33077	23411	43911	41369	34979	35441	35670	44299	46370	
"Mexico"	5457	8093	9618	9180	9779	14052	18305	78610	20291	36068	
"Greece"	30372	36845	28610	28894	36142	37843	32129	31295	39533	35230	
"Romania"	4914	3839	5859	12809	14862	22434	20472	26570	37074	32297	
"Norway"	22891	31916	25274	26974	22789	25067	23096	25463	28228	28397	
"Brazil"	17761	24448	21329	17564	14186	18752	9620	13078	17260	22064	
"Egypt"	3477	20053	12295	10963	11107	10067	8617	9765	11110	21375	
"Viet Nam"	7453	10700	7755	8021	9890	12726	10790	14027	12950	19044	
"Russian Federation"	12134	13306	10738	11358	16744	33886	90590	55894	18896	17908	
"Area Nes"	0	0	2444	2996	32913	22550	19197	13513	12458	11910	
"Australia"	12349	4276	5028	3816	6801	7272	9917	6471	9432	9668	
"Sri Lanka"	3966	5318	4819	4602	4150	2646	5732	4718	6446	9646	
"Hong Kong, China"	5955	2731	539	826	3760	1824	2594	7274	27605	9303	
"Croatia"	1318	2781	9973	13870	11405	10227	8764	13073	12789	8180	
"Thailand"	7779	3685	1573	2188	3707	8907	11232	5644	6311	6218	
"Estonia"	9688	8798	5535	5412	3771	3221	3763	6434	6239	4964	
"Belarus"	787	1173	1278	1172	1954	1955	3195	5539	6504	4752	
"Saudi Arabia"	8857	7858	6429	2411	3239	1916	13893	6834	6356	3746	
"Argentina"	25214	22358	13931	15427	21507	24758	16453	11630	2489	3608	
"Ukraine"	2918	11753	4211	5905	7848	11475	5184	6583	4087	3598	
"New Zealand"	5049	3838	4747	4814	2908	3596	2684	4826	3302	3342	
"Morocco"	710	244	1261	1768	1792	1988	2602	6794	2150	3056	
"Serbia"	697	812	1250	1312	394	765	924	672	579	2238	
"Latvia"	1027	891	722	1685	2504	2722	2416	2338	3005	1978	
"United Arab Emirates"	4107	5479	3429	4107	2777	2732	2920	1891	3448	1805	
"Bosnia and Herzegovina"	307	231	558	1323	5935	2235	1500	232	561	1099	
"Colombia"	6	48	79	8	3	2	9	349	574	841	
"Qatar"	230	777	840	727	1324	1389	901	422	995	830	
"Jordan"	221	449	392	434	551	504	651	477	1220	741	
"Costa Rica"	12	48	42	65	39	75	36	56	75	693	
"Bolivia, Plurinational State of"	0	7	0	0	0	0	0	0		517	
"Azerbaijan"	68	98	105	61	120	192	117	115	336	458	
"Peru"	2	50	1	3	0	2	28	4	3	447	
"Chile"	360	276	348	426	778	487	66	168	330	247	
"Cyprus"	1777	1117	360	372	1078	926	506	1414	710	137	
"Honduras"	1890	551	998	948	250	144	47	0	63	128	
"Kenya"	0	0	3	7	0	0	51	0		127	
"Sierra Leone"	0	0	0	0	0	58	136	156	61	126	
"Armenia"	16	0	59	174	199	183	231	173	58	115	
"Nicaragua"	0	1	1	0	0	0	0	5	60	112	
"Bahrain"	1	1	20	4	3	11	6	4	3	86	
"Georgia"	3	2	44	3	24	0	5	5	10	85	
"Albania"	4	9	17	36	61	56	52	64	67	79	
"Malta"	205	276	381	489	2368	354	94	126	124	70	
"Kuwait"	0	551	0	0	511	0	2	498	1	61	
"Moldova, Republic of"	6	2	4	0	0	32	0	10	3	55	
"Iran, Islamic Republic of"	103	1216	47	93	159	148	75	165	85	41	
"Pakistan"	308	152	406	292	355	7	4	9	27	41	
"Liberia"	0	0	0	3	0	0	0	0		32	
"Andorra"	0	0	0	0	0	0	0	0		30	
