Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"World"	7085486	-6151295	100	7	15		100	3				
"United States of America"	1649866	-1408362	23.3	3	15	1	14.6	2	7970	0.06	10.7	
"China"	1463100	-1443741	20.6	15	28	2	11.9	5	6401	0.06	10.7	
"Germany"	756783	-725191	10.7	1	-2	3	11.6	0	4364	0.06	10.7	
"Japan"	402588	-398827	5.7	3	13	5	6	0	5607	0.12	10.7	
"Mexico"	379370	-337242	5.4	12	9	7	3.4	13	2275	0.84	5.1	
"Korea, Republic of"	212287	-210540	3	10	22	8	3.4	-4	4054	0.21	10.7	
"Italy"	186716	-168598	2.6	3	6	12	2.6	7	4213	0.06	10.7	
"France"	173330	-153950	2.4	1	-4	15	2.4	-1	3392	0.05	10.7	
"United Kingdom"	137607	-126363	1.9	4	17	9	3	2	4339	0.08	10.7	
"India"	129854	-117100	1.8	14	32	31	0.5	1	8342	0.07	10.6	
"Switzerland"	124625	-109952	1.8	-5	-8	13	2.5	0	4006	0.11	10.7	
"Ireland"	94884	-62236	1.3	-2	21	11	2.8	5	4692	0.27	10.7	
"Thailand"	92847	-90960	1.3	11	34	25	0.8	-2	7009	0.08	10.7	
"Malaysia"	86172	-80874	1.2	17	39	16	2.2	12	7076	0.1	10.7	
"Denmark"	82139	-80608	1.2	13	38	26	0.7	4	4733	0.07	10.7	
"Czech Republic"	77216	-77047	1.1	42	46	24	0.8	6	2376	0.09	10.7	
"Sweden"	76079	-74474	1.1	10	27	27	0.7	4	4231	0.07	10.7	
"Norway"	73177	-60511	1	45	46	36	0.2	3	5029	0.06	10.7	
"Canada"	68793	-65665	1	12	32	19	1.2	3	4066	0.38	10.7	
