Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"World"	1114302	-95241	100	3	0		100	7				
"China"	609324	-608224	54.7	6	-5	1	41.3	10	7741	0.09	17.8	
"United States of America"	91725	285142	8.2	7	31	7	3.2	-2	3450	0.31	17.8	
"Italy"	49403	-47644	4.4	9	-2	4	5.4	5	3373	0.06	17.8	
"Germany"	47321	-31708	4.2	0	14	3	5.6	1	1768	0.06	17.8	
"India"	30944	-27638	2.8	17	6	16	1.1	15	10415	0.28	17.8	
"Mexico"	30557	-17101	2.7	-16	-18	5	4	5	1774	0.89	11.6	
"Poland"	27663	-27143	2.5	-3	-12	6	3.8	-2	1324	0.15	17.8	
"Thailand"	25100	-24948	2.3	5	-10	27	0.6	10	9401	0.27	17.8	
"France"	24736	8215	2.2	-1	7	12	1.4	1	2580	0.06	17.8	
"Japan"	23712	-23284	2.1	15	26	35	0.3	-6	6493	0.11	17.8	
"Austria"	17311	-17306	1.6	155	123	23	0.9	1	1118	0.18	17.8	
"United Kingdom"	15667	36629	1.4	40	18	18	1.1	-5	3584	0.08	17.8	
"Hong Kong, China"	12612	-12495	1.1	-4	-31	44	0.2	-11	6769	0.1	17.8	
"Korea, Republic of"	12218	-12068	1.1	-32	-7	29	0.4	-6	6380	0.13	17.8	
"Czech Republic"	8228	-5507	0.7	-14	-3	10	1.8	1	1033	0.25	17.8	
"Finland"	7913	-7912	0.7	65	1747	41	0.2	6	2464	0.06	17.8	
"Türkiye"	7399	-7337	0.7	6	13	11	1.7	13	2679	0.04	17.8	
"Paraguay"	6894	35995	0.6	-7	10	80	0	-58	1730	0.4	0	
"Sweden"	6581	-6429	0.6	14	26	22	0.9	2	1384	0.14	17.8	
"Brazil"	6053	-6053	0.5	20	173	31	0.3	10	6012	0.16		
"Spain"	5545	1194	0.5	-12	-22	13	1.3	3	2601	0.1	17.8	
"Uruguay"	5297	77147	0.5	14	-10	75	0.01	-17	5886	0.18	0	
"Romania"	4545	-4470	0.4	23	-21	20	1	0	1734	0.08	17.8	
"Hungary"	4204	-4195	0.4	11	-4	26	0.6	2	1380	0.19	17.8	
"Taipei, Chinese"	4164	-4116	0.4	-12	24	24	0.7	5	9409	0.34	17.8	
"Argentina"	4029	77017	0.4	20	-15	87	0	-15	1705	0.28	0	
"Pakistan"	3951	-3942	0.4	18	-36	52	0.09	21	10005	0.33	17.8	
"Netherlands"	2955	9680	0.3	7	22	9	1.9	7	1354	0.12	17.8	
"Portugal"	2356	1949	0.2	-13	45	25	0.7	-1	2131	0.19	17.8	
"Viet Nam"	2155	-2104	0.2	-10	62	2	6.6	22	12127	0.57	17.8	
"Israel"	1522	-1051	0.1	10	-2	46	0.1	13	6141	0.1	2.3	
"Bulgaria"	1320	-1315	0.1	2	-9	32	0.3	8	1674	0.06	17.8	
"Belgium"	1260	606	0.1	6	-21	19	1	7	1046	0.18	17.8	
"Denmark"	1065	989	0.1	-38	52	14	1.2	6	1890	0.08	17.8	
"Indonesia"	868	-399	0.1	-21	46	21	0.9	15	12595	0.36	17.8	
"Norway"	816	-791	0.1	9	10	42	0.2	6	2763	0.11	17.8	
"Canada"	712	14412	0.1	-20	37	8	2.1	2	1442	0.91	17.8	
"Switzerland"	667	-457	0.1	-46	8	39	0.2	-1	1916	0.25	17.8	
"Philippines"	617	429	0.1	14	1476	45	0.2	4	10448	0.41	17.8	
"Lithuania"	583	-583	0.1	52	166	17	1.1	10	1876	0.07	17.8	
"Australia"	552	831	0	26	360	53	0.09	6	8175	0.18	17.8	
"Slovakia"	529	-298	0	-14	-25	28	0.5	-3	1154	0.11	17.8	
"Singapore"	416	-344	0	-13	107	50	0.10	-3	5290	0.09	17.8	
"Ireland"	369	814	0	13	130	54	0.09	-4	1656	0.44	17.8	
"Colombia"	279	14871	0	-34	-52	62	0.04	1	2543	0.13	0	
"Venezuela, Bolivarian Republic of"	202	2901	0	24	-43	130	0	-28	4173	0.4	0	
"Egypt"	176	-137	0	-16	-23	59	0.06	-11	2947	0.11	17.8	
"Bangladesh"	170	-167	0	-25	107	61	0.04	13	9936	0.27	17.8	
"Malaysia"	161	200	0	-36	71	15	1.2	7	10189	0.27	17.8	
"Estonia"	159	-154	0	0	-4	30	0.4	3	1338	0.12	17.8	
"Slovenia"	148	-98	0	-16	-23	33	0.3	-2	1044	0.1	17.8	
"United Arab Emirates"	142	11476	0		7506	58	0.07	8	6024	0.08	17.8	
"Ukraine"	102	-69	0	13	-30	37	0.3	10	1464	0.16	17.8	
"Chile"	95	60599	0	-41	269	72	0.01	-26	4565	0.13	0	
"South Africa"	87	10723	0	-30	-43	48	0.1	-6	2719	0.08	17.8	
"Tunisia"	86	-86	0	16	124	56	0.07	1	1466	0.22	17.8	
"Serbia"	82	26	0	66		36	0.3	9	1008	0.06	17.8	
"Zimbabwe"	75	-75	0			122	0	6	1633	0.53	17.8	
"Greece"	74	403	0	5	181	55	0.09	12	1927	0.06	17.8	
"Uzbekistan"	62	-61	0			79	0	41	701	0.42	17.8	
"Myanmar"	57	-44	0	-12	846	77	0	36	12294	0.69	17.8	
"Macao, China"	48	-48	0	-42		100	0	-11		0.3	17.8	
"Albania"	38	-38	0	37	-9	67	0.02	16	1537	0.25	17.8	
"Nepal"	25	-18	0		2385	110	0	16	6884	0.16	17.8	
"Macedonia, North"	23	-22	0	225	288	47	0.1	4	1206	0.12	17.8	
"Peru"	22	35238	0	-34	-16	81	0	10	3004	0.23	0	
"New Zealand"	20	-10	0	34	344	64	0.02	-5	7712	0.25	17.8	
"Latvia"	18	-9	0	-19	81	43	0.2	9	1311	0.09	17.8	
"Morocco"	16	178	0	-38		49	0.1	-4	1768	0.31	17.8	
"Honduras"	13	4330	0	-58	-97	65	0.02	12	1939	0.31	17.8	
"El Salvador"	11	3284	0			69	0.02	6	683	0.2	17.8	
"Russian Federation"	9	46	0	-38		57	0.07	-1	3298	0.05	17.8	
"Bosnia and Herzegovina"	9	-9	0	27		38	0.2	5	1142	0.12	17.8	
"Croatia"	8	5	0	-57	-10	40	0.2	9	860	0.11	17.8	
"Moldova, Republic of"	6	-5	0	-79	105	60	0.05	0	1133	0.23	17.8	
"Sri Lanka"	6	-6	0	20		70	0.02	4	5089	0.32	17.8	
"Cocos (Keeling) Islands"	5	-5	0		-78	164	0	39		0.72	17.8	
"Dominican Republic"	4	8891	0	57		76	0	8	2236	0.41	17.8	
"Area Nes"	4	-4	0									
"Panama"	3	13063	0	-76	-4	96	0	-14	2424	0.09	12.8	
"Belarus"	2	-2	0	92		51	0.09	11	1367	0.14	17.8	
"Senegal"	1	643	0			99	0	13	814	0.19	17.8	
"Bolivia, Plurinational State of"		34364				91	0	7	7683	0.56	0	
"Ecuador"		9714				71	0.01	24	6876	0.14	0.6	
"Costa Rica"		6505				68	0.02	10	1952	0.22	17.8	
"Guatemala"		5649				63	0.03	14	631	0.24	17.8	
"Angola"		5227				153	0	-16	5263	0.21	17.8	
"Saudi Arabia"		2669				97	0	-2	4612	0.11	17.8	
"Aruba"		2352				140	0	31	10381	0.92	17.8	
"Oman"		2312				92	0	7	9651	0.44	17.8	
"Trinidad and Tobago"		2243				90	0	-1	1058	0.17	17.8	
"Ghana"		2166				102	0	15	1204	0.35	17.8	
"Mozambique"		2042				121	0	0	5715	0.1	17.8	
"Nicaragua"		1661				93	0	2	1927	0.35	17.8	
"Qatar"		1452				115	0	-14	4756	0.21	17.8	
"Tanzania, United Republic of"		1237				119	0	3	1720	0.33	17.8	
"Mauritius"		1103				148	0	-23	7164	0.4	17.8	
"Cuba"		969				197	0	-32	9344	0.24	5.9	
"Suriname"		957				109	0	154	808	0.73	17.8	
"Zambia"		920				126	0	-15	1881	0.26	17.8	
"Cabo Verde"		862				224	0		6128	1	17.8	
"Nigeria"		815				186	0	31	659	1	17.8	
"Cameroon"		753				85	0	54	1215	0.86	17.8	
"Congo"		703				149	0	-9	7568	0.26	17.8	
"Curaçao"		695				162	0	-4		0.22		
"Guyana"		644				171	0	4	1818	0.23	17.8	
"Jamaica"		637				133	0	-5	3063	0.22	17.8	
"Congo, Democratic Republic of the"		518				151	0	3	5252	0.49	17.8	
"Madagascar"		504				147	0	18	8311	0.61	17.8	
"Liberia"		475				173	0	60	6574	0.36	17.8	
"Kuwait"		440				118	0	-4	4002	0.21	17.8	
"Côte d'Ivoire"		410				104	0	-1	2214	0.14	17.8	
"Kenya"		321				74	0.01	0	1304	0.1	17.8	
"Gabon"		237				141	0	-10	7300	0.22	17.8	
"Bahamas"		228				184	0	-29	4542	0.32	17.8	
"Namibia"		222				144	0	-14	5912	0.12	17.8	
"Equatorial Guinea"		218				101	0	225	2792	0.98	17.8	
"Gambia"		212				212	0	-3	12405	0.75	17.8	
"Bahrain"		210				105	0	8	3345	0.26	17.8	
