Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	399090	1092140	1163405	1953619	5201113	3076449	12172550	5202623	3335468	1615718	2052024	2566730	2091468	2833436	2944677	4157769	1674351	3316983	1477132	865585	
"Bangladesh"	5	0	0	2	0	0	0	0	0	31	5	0	0	0	6	0	42253	65797	23506	123923	
"United States of America"	118967	400538	341964	796681	1980008	2114489	7613427	1416310	1456448	584785	556227	924946	1198001	1067062	1427573	1081370	341350	242633	75503	112974	
"Oman"	268	117	645	1971	8919	6937	484	1550	149	89	168	47	176	11	9	308186	231793	47	10	98542	
"Cayman Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85078	
"United Kingdom"	43192	42542	88702	78724	64590	105854	58093	156027	78046	99488	121474	71489	53059	173633	109436	99519	157344	99267	50916	80794	
"France"	136867	159456	149414	621004	2461518	392518	3316025	1743083	1123569	393059	710770	409890	399765	440429	512886	1922931	207619	180415	49109	63555	
"Germany"	7340	69901	53268	171163	158930	88099	328293	1221719	186268	146422	161341	459121	88847	33518	153241	312833	38277	40204	21890	62838	
"United Arab Emirates"	3521	3506	3947	3420	7117	8642	97589	37624	15259	11276	6109	1755	2124	1902	6920	2117	248145	11659	3644	39195	
"Ireland"	236	278	30179	51111	84648	7614	12048	245	101	14954	669	23453	2275	491	724	33505	20509	435	1543	37140	
"Singapore"	31777	103939	98492	122615	112139	121131	150735	70601	82590	93723	41088	37846	48140	74190	22989	22603	34696	30664	17177	31638	
"Italy"	1568	2283	3270	6720	15356	5506	41482	100563	101696	33408	17704	30610	11283	40692	27662	26205	19332	8132	3714	29820	
"Russian Federation"	8847	2588	3232	4816	7108	13636	23004	24052	10825	7671	58754	38605	32900	125863	42803	13683	34199	24220	20670	20547	
"Malaysia"	748	4509	2438	2495	3477	3697	3526	2810	3999	6688	4446	164066	43259	75576	18819	23441	44905	37076	14800	20427	
"Israel"	10485	3953	8836	19484	24129	82418	27667	67477	18884	19383	13722	37225	40952	48215	13463	23605	6939	5903	2599	17876	
"Bhutan"	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	5	48	8	0	16957	
"Canada"	2644	3938	148634	18281	110834	55692	124833	303617	172314	49281	74904	172479	32538	61592	107201	197818	13442	49460	15014	5479	
"Türkiye"	0	0	0	4420	23	203	163	3205	1	1145	536	15092	4485	3196	2287	1720	2482	3635	4525	3928	
"China"	37	71	2116	1038	332	1515	24344	4118	16343	53994	60872	11292	8078	5505	7436	7295	7286	12877	4100	1962	
"Qatar"	5	0	5	36	107	0	2	13	47	292	0	22	0	10	4	0	1051	574	44	1628	
"Netherlands"	335	4754	1943	7203	3951	3296	3332	2375	1548	3417	56148	5240	1532	1930	4500	19411	9912	5049	1494	1473	
"Belgium"	5561	159560	85565	3145	419	6741	2126	2158	1521	1367	774	534	252	451	1425	2196	287	199	1960	1342	
"Hong Kong, China"	710	398	505	2775	1213	2913	2723	5017	23377	4490	7293	6821	3240	13480	1177	3114	1456	1488	7564	1216	
"Indonesia"	2813	297	17118	0	11	0	27	9	142	434	321	91	4	2683	3583	201	5	6	96	1055	
"Korea, Republic of"	79	63732	65813	343	57	278	246	456	7985	7055	9231	25	8	8428	909	9735	12203	3701	256	768	
"Slovenia"	1013	39	352	0	207	0	6	115	236	625	604	0	0	1	160	2052	849	898	295	541	
"Sweden"	27	563	63	56	7	931	87	92	1026	2418	2417	667	2407	3787	1885	772	514	764	406	489	
"South Africa"	1	1525	6190	4175	235	776	286	553	278	769	174	115	167	284	154	60	163	150	528	471	
"Jordan"	0	0	554	80	0	46	159	10	48	623	4	0	0	0	2	459	0	601	0	449	
"Australia"	778	315	29807	564	1753	3015	582	1632	3135	803	1246	273	900	234	2004	2973	183	3350	126	335	
"Austria"	39	121	217	318	214	403	333	310	827	851	1404	2878	475	819	2218	3442	899	363	1452	328	
"Thailand"	753	7475	521	1166	2081	977	687	1469	4466	11184	11831	130	350	879	465	2270	6145	23946	357	298	
"Tokelau"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	253	
"Portugal"	0	22	0	0	0	11	80	3	1	38	231	253	33384	3	5	27	0	13	53	229	
"Sri Lanka"	363	11	119	21	49	24	12	45	68	57	1103	1886	287	18258	28	131	8	43	204	198	
"Spain"	271	28	18	32	141	515	3076	194	1458	352	1039	1060	160	491	6859	772	265	5172	173	176	
"Philippines"	7	79	26	1470	1584	44	456	147	81	343	1105	421	442	109	19477	450	76	39	59	171	
"Czech Republic"	23	5	2	463	4870	1693	1194	613	100	1364	10432	89	88	271	253	441	600	329	57	168	
"Japan"	10239	9551	6326	14046	12000	13403	5848	3067	9297	15337	28816	32607	12452	4494	11118	5444	5200	934	554	144	
"Ukraine"	2921	1355	21	316	4516	18318	8310	9102	621	614	856	242	149	1690	413	1989	2432	71	0	133	
"Area Nes"	213	32151	127	5810	1496	3812	300773	7326	198	16404	75	35795	37	15694	14	227	972	36	98	123	
"Denmark"	1482	1032	4095	3577	3073	980	623	1083	981	1545	855	1039	762	3390	2184	380	158	295	277	123	
"Uzbekistan"	0	1893	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	
"Viet Nam"	0	0	0	0	4	6	16	18	112	469	2735	209	151	47	107	194	233	167	10	103	
"Afghanistan"	0	0	0	0	0	0	0	0	0	2	2	108	0	0	0	0	0	4092	0	99	
"Switzerland"	3598	7029	4756	1454	6563	4703	14245	6981	2030	9543	67384	5073	2394	8493	14076	12528	164	665	358	87	
"Saudi Arabia"	452	546	982	1191	92826	802	325	397	231	90	206	81	38	549578	357799	0	45476	23529	12	68	
"Norway"	36	3	101	0	4	0	50	2555	787	33	63	0	43	3	120	727	1195	34	126	58	
"Poland"	0	0	26	22	283	230	280	1154	373	671	3951	1512	1236	1473	3591	669	69	86	86	44	
"Brazil"	0	0	0	5	21853	2	0	138	4118	4828	2247	47061	38010	438	432	371	23	0	63843	43	
"Korea, Democratic People's Republic of"	0	0	0	0	1076	1071	0	0	0	0	0	5	0	0	0	14	0	0	0	35	
"Kuwait"	0	6	0	0	0	43	163	44	43	0	1	0	0	34	19	1	45210	2401697	1040522	34	
"Lithuania"	101	529	303	109	185	188	93	63	88	0	49	61	110	76	83	140	148	919	722	23	
"Mexico"	0	0	0	0	11	2	226	172	35	887	624	605	4580	4162	1908	5507	879	24	4	14	
"Myanmar"	0	0	0	0	0	0	0	0	0	0	18	0	7	28	50693	2	0	2	0	11	
"Taipei, Chinese"	175	269	77	137	122	365	730	127	717	4367	3121	214	2102	105	133	120	47	611	45	11	
"Greece"	83	0	0	5	0	0	0	0	10	9	1	0	0	0	49	0	0	0	0	10	
"Mauritius"	1	44	9	8	2	13	0	45	3	31	50	0	2	0	1	5	0	4	0	7	
"Bahrain"	7	18	497	342	65	28	78	940	26	1780	1247	21	197	12	20	16	146	1	1	5	
"New Zealand"	8	8	2	3	0	0	49	3	0	0	2725	13	2	3	0	15	2	3	1	4	
"Seychelles"	0	0	0	0	0	0	0	0	1	0	58	0	0	0	0	0	0	0	0	4	
"Finland"	22	22	0	3	12	0	0	6	74	267	1135	1	0	1	8	1202	85523	0	0	3	
"Romania"	0	0	0	15	0	90	0	18	0	0	26	1	0	0	0	4	0	0	0	3	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
"United States Minor Outlying Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	56	0	0	0	2	
"Nepal"	3	2	0	126	1	117	151	0	1641	2	1	25	11	0	36	11	29	31	1	2	
"Estonia"	0	0	0	0	250	0	0	28	0	16	0	0	6	15	45	0	0	3	3	1	
"Curaçao"	0	0	0	0	0	0	0	0	0	1	0	0	66	42	320	0	0	0	1	1	
"Papua New Guinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"British Virgin Islands"	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0		
"French Southern and Antarctic Territories"	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0		
"Marshall Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0		
"Saint Helena"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Antigua and Barbuda"	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Argentina"	0	0	0	28	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0		
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0		
"Belize"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
"Brunei Darussalam"	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Bulgaria"	0	0	0	0	1	0	1	1	1	0	1	0	0	47	37	0	0	5	0		
"Belarus"	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0		
"Chile"	0	0	0	0	0	0	0	0	0	24	3	0	0	9819	0	0	0	0	0		
"Colombia"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0		
"Congo"	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0		
"Costa Rica"	0	0	0	0	0	0	0	0	0	192	15	0	0	0	0	0	0	0	0		
"Croatia"	0	0	2	0	2	0	0	0	0	5795	28	0	0	0	0	0	0	0	0		
"Cuba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0		
"Dominica"	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0		
"Ecuador"	0	0	0	0	0	0	0	57	0	0	23	20	8	0	0	0	0	0	0		
"El Salvador"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0		
"Ethiopia"	0	0	0	0	0	0	0	41	0	2	28	0	0	0	0	0	0	0	0		
"Faroe Islands"	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Fiji"	0	792	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Georgia"	0	0	0	5	3	28	11	0	11	0	0	0	0	1	0	0	0	0	0		
"Gambia"	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0		
"Grenada"	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Guatemala"	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Guinea"	245	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0		
"Hungary"	0	0	0	0	159	156	443	499	184	168	1086	0	100	0	93	1	0	0	0		
"Iceland"	73	12	825	176	0	417	11	232	13	8	0	0	0	0	2	0	3	0	0		
"Iran, Islamic Republic of"	3	0	20	8	2	0	1	0	0	1	46	23247	0	0	0	0	0	0	0		
"Jamaica"	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	45	252	603	0		
"Kenya"	0	13	4	0	0	0	113	24	0	29	0	38	0	0	0	1	0	4501	0		
"Kyrgyzstan"	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Latvia"	0	0	0	0	0	1550	1272	83	0	13	0	0	13	46	72	0	608	19547	44003		
"Liberia"	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0		
"Luxembourg"	0	0	0	1	0	0	1	0	0	0	0	0	0	7	7	0	0	0	2620		
"Madagascar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0		
"Maldives"	0	0	0	1	2	0	1	1	16	2	57	3	1	9	0	0	1	2	0		
"Malta"	0	0	0	0	0	0	0	0	0	15	79	0	0	225	3	55	87	0	0		
