Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	143223900	150690852	133529218	136600446	149636920	165367365	160676106	150581600	176781559	173805632	
"China"	21300141	24355781	23456348	23215916	26492093	28685742	27493726	30515163	40835750	39073046	
"United States of America"	10922710	11220754	11378725	12137270	13672852	16369660	16540321	12831722	14114709	15874528	
"Poland"	6362994	6811670	6847411	6531596	7323068	8352472	8723555	8820766	10504777	11041338	
"Italy"	9654220	9936320	8225691	8639756	9363347	10306916	9876725	8844673	10473702	10062206	
"Czech Republic"	7761698	8518430	7343054	8592729	10001955	10906133	10512720	9590152	10483455	9989365	
"Austria"	9330370	9531111	7751749	8131213	8617458	9041662	8410620	7880626	9052144	8826074	
"France"	9534765	9261134	7475346	7556244	7423362	8563478	8923919	7253844	8077938	7898097	
"Japan"	7744563	6984907	5976148	5853519	6159512	6432468	5906526	5130509	6425224	6425605	
"Hungary"	6963082	7816834	6838779	6949058	7387924	7450477	7020610	5897495	6198365	6180607	
"Switzerland"	7180597	7573510	6329691	6365736	6688092	7185417	6423166	5704070	6409327	6162128	
"Netherlands"	6671491	7213150	6147669	6445985	6257210	7050655	6925663	6856186	6681608	5514607	
"United Kingdom"	6192959	6069714	5268104	4832334	5234949	5588365	5598146	4627061	4835268	5170737	
"Türkiye"	2472063	2748205	2436843	2751236	2967670	3048674	2758979	2709895	3443030	3584960	
"Taipei, Chinese"	1435375	1640982	1467632	1417005	1546485	1796831	1860564	1978433	2687549	2927068	
"Slovakia"	2151736	2478659	2158951	2366470	2585481	2816362	2632797	2473011	2921980	2923202	
"Korea, Republic of"	1448254	1510663	1335602	1319133	2002776	2957592	2754970	2821188	2588520	2435743	
"Belgium"	2191543	2368297	1924866	2038732	1920934	1918965	2001461	1995690	2442166	2294811	
"Sweden"	2423027	2410428	2014034	2203243	2384944	2543044	2461266	2110049	2544381	2286993	
"Romania"	1606240	1737512	1411899	1622159	1910269	2419436	2508578	2094038	2223974	2204784	
"Spain"	2207457	2339358	1972832	2064789	2297573	2359313	2214597	1992728	2310935	2184869	
"Malaysia"	1158015	1331427	1265727	1346542	1835582	1993233	1760475	1769282	1857962	1937527	
"Thailand"	1162494	1404428	1331582	1433719	1516585	1586743	1622393	1598820	2051553	1846795	
"Denmark"	1535895	1737579	1321212	1288959	1405449	1837758	1497760	1462615	1681994	1731615	
"Viet Nam"	1022288	854231	801251	860986	963434	1102996	1003282	1238724	1444712	1538130	
"India"	726479	762081	677332	694651	806037	1015228	991437	896927	1284783	1506023	
"South Africa"	1029212	1009683	922959	844106	873446	933860	1019250	1130465	1607865	1361902	
"Slovenia"	728122	750319	685864	731156	792275	902061	853683	758276	994323	1023071	
"Ireland"	1293115	1122406	937880	1008035	1028465	1078977	1042034	1227083	1063656	902339	
"Portugal"	932953	878519	785229	690716	741818	852531	772529	738322	880175	902088	
"Mexico"	537304	611884	607248	602738	580202	663455	644893	634602	688333	854391	
"Philippines"	925543	984911	727617	595901	780931	806723	907321	791697	1016781	842952	
"Finland"	671843	611230	529304	477034	558083	650046	659644	834517	852244	731256	
