Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"World"	14844081	10172118	100	2	11		100	5				
"Poland"	1721106	1272718	11.6	6	13	9	3.4	8	1212	0.11	0	
"Sweden"	1691513	-1284079	11.4	-2	3	5	4.8	3	2477	0.07	0	
"Austria"	1629658	-292553	11	3	12	12	2.7	4	1114	0.11	0	
"France"	1338372	1566345	9	3	16	8	3.7	4	1672	0.09	0	
"Finland"	1336907	-1205410	9	-7	-11	7	3.9	-3	3735	0.06	0	
"Italy"	1239546	525595	8.4	4	23	4	4.9	7	2098	0.07	0	
"Netherlands"	1128185	1139754	7.6	2	9	10	3.2	6	1406	0.12	0	
"Switzerland"	750740	267405	5.1	3	25	31	0.6	2	1782	0.15	0	
"China"	714057	-479741	4.8	14	24	1	15.3	11	6651	0.04	0	
"Czech Republic"	463436	436769	3.1	2	10	21	1.2	8	986	0.1	0	
"Belgium"	444403	940409	3	1	17	11	2.7	6	1678	0.11	0	
"United Kingdom"	296146	1212765	2	-3	23	15	1.5	-1	2437	0.11	0	
"Spain"	237080	613574	1.6	5	2	13	2.7	8	2245	0.11	0	
"United States of America"	226387	1010095	1.5	-3	0	3	8.2	1	3826	0.21	0	
"Portugal"	213958	-74977	1.4	1	14	16	1.5	5	2274	0.1	0	
"Slovakia"	196003	-9317	1.3	2	27	29	0.7	9	656	0.09	0	
"Denmark"	140690	287755	0.9	4	-6	34	0.5	4	1523	0.09	0	
"Türkiye"	131420	394765	0.9	22	52	18	1.4	13	2429	0.04	0	
"Hungary"	124714	241958	0.8	1	20	30	0.7	6	1080	0.06	0	
"Slovenia"	99757	27969	0.7	1	36	33	0.5	5	1116	0.06	0	
"Luxembourg"	94191	16804	0.6	4	25	42	0.3	8	637	0.13	0	
"Japan"	66422	-13825	0.4	4	-21	19	1.3	0	4114	0.11	0	
"Russian Federation"	65347	148999	0.4	-7	-41	23	1.1	9	3901	0.17	0	
"Norway"	50141	79318	0.3	-13	12	43	0.3	2	2244	0.08	0	
"Canada"	49661	76776	0.3	7	91	6	4.1	1	2150	0.74	0	
"Croatia"	38277	86972	0.3	18	8	45	0.2	14	602	0.09	0	
"Serbia"	36983	73609	0.2	3	44	37	0.4	10	1023	0.04	0	
"Indonesia"	33826	48271	0.2	6	58	14	2.3	1	7198	0.04	0	
"Lithuania"	33433	46685	0.2	12	16	46	0.2	8	1099	0.07	0	
"Romania"	32921	237338	0.2	15	22	38	0.4	13	998	0.07	0	
"India"	27955	111524	0.2	21	70	25	0.9	23	7621	0.09	0	
"Taipei, Chinese"	21514	12313	0.1	6	38	26	0.8	-1	4742	0.14	0	
"Bulgaria"	20900	60678	0.1	3	-1	50	0.2	8	1754	0.06	0	
"Greece"	18980	148711	0.1	21	-20	41	0.3	25	1340	0.11	0	
"Brazil"	16298	101367	0.1	-2	-15	20	1.3	5	5152	0.08	0	
"Ireland"	15997	76684	0.1	11	-10	53	0.1	6	1622	0.36	0	
"Estonia"	13937	15097	0.1	31	36	57	0.10	5	1514	0.07	0	
"Ukraine"	12092	77109	0.1	13	18	55	0.1	-10	1409	0.07	0	
"Malaysia"	8530	48901	0.1	3	26	27	0.7	12	3692	0.12	0	
"Korea, Republic of"	8274	42685	0.1	0	16	17	1.4	-3	6128	0.09	0	
"Bosnia and Herzegovina"	7965	26108	0.1	7	19	56	0.1	13	1057	0.1	0	
"Hong Kong, China"	6972	18806	0	-2	-20	35	0.4	-11	4036	0.09	0	
"Tunisia"	5004	32979	0	47	1	62	0.07	17	2233	0.15	0	
"Thailand"	4719	45221	0	-5	9	28	0.7	-2	3480	0.06	0	
"Viet Nam"	4007	8840	0	8	24	24	1	22	6238	0.15	0	
"Colombia"	3445	91614	0	20	106	54	0.1	-2	2447	0.1	0	
"Israel"	2581	96454	0	5	20	61	0.08	2	4938	0.25	0	
"Mexico"	2399	357975	0	-5	36	22	1.1	10	1870	0.64	0	
"Philippines"	2278	9206	0	9	-17	68	0.05	-3	5306	0.07	0	
"Latvia"	1431	53237	0	3	-12	59	0.08	7	652	0.18	0	
"Macedonia, North"	1217	14738	0	35	117	82	0.02	13	652	0.18	0	
"South Africa"	1203	200347	0	-50	143	39	0.3	-2	2471	0.09	0	
"Egypt"	1142	87700	0	11	-63	47	0.2	9	2687	0.06	0	
"Morocco"	1047	71726	0	75	54	65	0.06	7	2549	0.1	0	
"Albania"	955	3221	0	31	60	73	0.04	9	1021	0.61	0	
"Belarus"	941	16095	0	23	7	67	0.06	17	1709	0.13	0	
"United Arab Emirates"	845	86336	0	16	30	51	0.2	21	6159	0.12	0	
"Nepal"	671	-622	0	3	30	116	0	5	8010	0.12	0	
"Singapore"	667	19177	0	7	-23	32	0.5	-7	3074	0.08	0	
"Chile"	637	54630	0	-14	15825	40	0.3	2	6789	0.07	0	
"Sri Lanka"	553	11416	0	-8	-48	75	0.03	1	4144	0.14	0	
"Australia"	543	96262	0	-1	-64	36	0.4	-3	7311	0.14	0	
"Sierra Leone"	410	-249	0	171		136	0	0	4783	0.32	0	
"Argentina"	369	52323	0	33	779	78	0.03	-10	1426	0.34	0	
"Bangladesh"	296	19318	0	7	25	91	0.01	16	5845	0.14	0	
"Jordan"	292	12432	0	11	535	64	0.06	-5	1173	0.24	0	
"Malta"	219	9814	0	3	72	109	0	-21	3461	0.13	0	
"Kuwait"	213	10265	0			117	0	-2	2235	0.61	0	
"Saudi Arabia"	178	62188	0	-21	356	58	0.10	0	3170	0.24	0	
"Pakistan"	152	28668	0	13	-1	74	0.04	17	6655	0.22	0	
"Myanmar"	137	884	0	57	-11	103	0	-4	4144	0.4	0	
"Cambodia"	128	917	0	39	103	81	0.02	31	11204	0.55	0	
"Dominican Republic"	107	9977	0	69	569	63	0.07	17	1996	0.26	0	
"Cyprus"	63	9233	0	-1	26	120	0	41	1826	0.51	0	
"New Zealand"	59	12217	0	-1	-57	52	0.2	-2	6999	0.25	0	
"Iran, Islamic Republic of"	48	13793	0	23	-30	85	0.01	1	2197	0.59	0	
"Moldova, Republic of"	44	5124	0	31	91	87	0.01	18	927	0.23	0	
"Iceland"	41	7674	0	-26	-55	146	0	-9	1851	0.27	0	
"Panama"	38	1662	0	16	15	89	0.01	-2	1889	0.25	0	
"Peru"	24	36071	0	19	-25	66	0.06	3	2060	0.24	0	
"Ecuador"	24	26295	0	83	-92	70	0.04	15	4076	0.16	0	
"Lebanon"	23	15783	0	5	-57	90	0.01	-6	2656	0.09	0	
"Kenya"	21	6861	0	45	250	72	0.04	4	1178	0.19	0	
"Cameroon"	21	2329	0	65		124	0	32	1237	0.88	0	
"Greenland"	21	342	0			186	0	114	3524	0.5	0	
"Guatemala"	19	21594	0	109	111	49	0.2	10	1459	0.16	0	
