Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"World"	9309101	-7880568	100	16	45		100	11				
"China"	3208180	-3185965	34.5	46	192	1	15.5	26	7257	0.04	10.9	
"United States of America"	1978742	-1849537	21.3	10	20	2	11.3	4	6750	0.08	10.9	
"India"	756026	-690204	8.1	18	23	17	1.5	14	9180	0.08	10.9	
"Germany"	425708	-413879	4.6	1	17	3	10	4	2883	0.05	10.9	
"Israel"	304155	-302422	3.3	-3	76	16	1.6	6	2819	0.12	4.6	
"Argentina"	291051	-3866	3.1	7	17	24	0.7	15	10432	0.79	0	
"France"	287772	-259213	3.1	-1	-20	6	4.7	3	2990	0.05	10.9	
"Belgium"	249228	-241042	2.7	15	6	5	5.2	13	1623	0.13	10.9	
"Singapore"	241333	-236309	2.6	18	15	11	2.4	3	5563	0.08	10.9	
"Colombia"	186882	-77514	2	27	54	49	0.1	-2	3120	0.09	0	
"United Kingdom"	184631	-176720	2	8	9	13	2.3	1	3662	0.06	10.9	
"Spain"	177072	-141028	1.9	-1	9	10	2.8	14	2622	0.1	10.9	
"Korea, Republic of"	131359	-127580	1.4	19	-22	14	2.1	11	5219	0.11	10.9	
"Italy"	127253	-118951	1.4	7	15	9	3	10	3258	0.05	10.9	
"Denmark"	106575	-106521	1.1	9	17	26	0.7	6	3711	0.06	10.9	
"Paraguay"	97981	43660	1.1	18	138	60	0.05	42	1555	0.57	0	
"Japan"	68389	-26205	0.7	15	-9	7	4.7	5	4451	0.13	10.9	
"Indonesia"	52616	-49604	0.6	18	14	8	3	18	6695	0.12	10.9	
"Austria"	51610	-51113	0.6	46	249	23	0.9	9	1956	0.09	10.9	
"Netherlands"	47981	29394	0.5	26	-19	4	7.6	20	1473	0.11	10.9	
"Malaysia"	42887	-39543	0.5	5	0	12	2.4	14	6083	0.07	10.9	
"Mexico"	40640	27750	0.4	-13	-17	32	0.5	11	2421	0.48	4.6	
"Taipei, Chinese"	30718	-29900	0.3	6	66	15	1.6	7	4325	0.15	10.9	
"Hungary"	26112	-25831	0.3	127	-1	28	0.6	14	1967	0.06	10.9	
"Chile"	19445	45223	0.2	12	19	58	0.05	3	5233	0.14	0	
"Sweden"	17686	-16937	0.2	9	-32	21	1.1	15	3121	0.11	10.9	
"Switzerland"	15940	-2281	0.2	18	-16	34	0.5	3	3589	0.1	10.9	
"Norway"	13634	-13429	0.1	13	16	39	0.2	1	3767	0.07	10.9	
"Hong Kong, China"	13572	-12242	0.1	130	-57	29	0.5	6	2619	0.45	10.9	
"Portugal"	11923	24794	0.1	11	40	40	0.2	7	2582	0.09	10.9	
"South Africa"	10608	915	0.1	-29	-84	37	0.4	10	7208	0.06	10.9	
"Canada"	10277	-7884	0.1	12	-13	20	1.3	12	2243	0.68	10.9	
"Poland"	9190	-8847	0.1	11	27	18	1.5	21	1159	0.16	10.9	
"Finland"	8774	-7837	0.1	-2	-16	38	0.3	1	3301	0.06	10.9	
"Thailand"	8258	-6912	0.1	-14	42	25	0.7	20	3903	0.12	10.9	
"Australia"	7468	-6149	0.1	-30	31	41	0.2	12	6455	0.22	10.9	
"Macedonia, North"	7184	-7184	0.1		203	22	0.9	15	1386	0.94	10.9	
"Belarus"	6663	-6661	0.1	99	-28	70	0.03	7	3134	0.1	10.9	
"Uruguay"	6211	37242	0.1	14	40	71	0.02	4	4385	0.21	0	
"Ireland"	3454	-2883	0	-7	-58	19	1.4	-1	2359	0.09	10.9	
"Brazil"	3161	-3161	0	12	196	31	0.5	11	5983	0.08		
"Russian Federation"	3159	-182	0	8	-17	42	0.2	2	2981	0.05	10.9	
"Peru"	2960	36918	0	226	296	68	0.03	15	3088	0.2	0	
"Türkiye"	2675	21590	0	9	-13	36	0.5	20	2714	0.04	10.9	
"United Arab Emirates"	2007	-1594	0	302	30	53	0.07	23	5445	0.05	10.9	
"Czech Republic"	1924	-1924	0	37	82	27	0.7	23	1338	0.13	10.9	
"Viet Nam"	1332	-483	0	-17	53	35	0.5	21	3015	0.16	10.9	
"Philippines"	1003	-663	0	19	192	50	0.1	16	6319	0.1	10.9	
"Guatemala"	862	3972	0	-28	65	48	0.1	16	1281	0.11	10.9	
"Azerbaijan"	813	-813	0	19	3	101	0	25	1893	0.23	10.9	
"Sri Lanka"	804	-784	0	54	475	56	0.06	16	9060	0.15	10.9	
"Romania"	555	-534	0	20	33	45	0.2	15	1169	0.1	10.9	
"Lithuania"	475	149	0	-13	-34	33	0.5	26	3680	0.14	10.9	
"Egypt"	460	2422	0	39	120	52	0.09	1	2441	0.08	10.9	
"New Zealand"	322	-282	0	12	22	77	0.02	-15	6178	0.21	10.9	
"Luxembourg"	281	-280	0	-7	-79	62	0.04	3	636	0.3	10.9	
"Slovenia"	190	-190	0	6	16	44	0.2	14	1487	0.06	10.9	
"Greece"	165	4794	0	19	-3	43	0.2	8	2018	0.05	10.9	
"Slovakia"	156	-156	0	-38	50	47	0.1	4	973	0.13	10.9	
"Bulgaria"	143	-143	0	-56	50	30	0.5	32	967	0.13	10.9	
"Estonia"	95	-11	0	24	5	59	0.05	14	2578	0.06	10.9	
"Costa Rica"	66	7887	0	-17	-51	57	0.06	10	1802	0.13	10.9	
"Oman"	56	-54	0			100	0	56	6199	0.26	10.9	
"Panama"	49	4247	0	60		80	0.01	18	5249	0.09	7.9	
"Bolivia, Plurinational State of"	43	43845	0			118	0	37	5474	0.18	0	
"Ukraine"	36	104	0	-35	419	61	0.04	3	2026	0.24	10.9	
"Jordan"	34	274	0			67	0.03	7	1769	0.08	10.9	
"Ecuador"	29	17380	0		692	65	0.03	45	6489	0.13	0	
"Macao, China"	25	-25	0		50	90	0	175		0.87	10.9	
"Iceland"	18	268	0			114	0	13	3557	0.37	10.9	
"Senegal"	4	191	0			92	0	2	2049	0.12	10.8	
"Venezuela, Bolivarian Republic of"	3	3720	0	-6	0	134	0	-34	3766	0.38	0	
"Malta"	2	103	0	-27	3	96	0	8	1585	0.84	10.9	
"Latvia"	2	27	0	64	-84	46	0.1	30	1579	0.11	10.9	
"Saudi Arabia"	1	1908	0	-50		51	0.10	6	5421	0.09	10.9	
"Belize"	1	36	0	16		194	0	-61	1030	0.59	10.9	
"Dominican Republic"		4132				87	0	1	1872	0.19	10.9	
"Pakistan"		3840				75	0.02	41	5313	0.21	10.9	
"Angola"		2642				153	0	20	3201	0.3	10.9	
"Honduras"		2426				81	0.01	-3	3432	0.14	10.9	
"El Salvador"		1317				64	0.03	72	7429	0.5	10.9	
"Nigeria"		1241				85	0	14	1533	0.37	10.8	
"Guyana"		822				124	0	-23	1222	0.55	10.9	
"Haiti"		707				170	0	31	240	1	10.8	
"Nicaragua"		705				108	0	-14	715	0.29	10.9	
"Tunisia"		633				86	0	7	1404	0.28	10.9	
"Trinidad and Tobago"		438				91	0	-30	851	0.27	10.9	
"Ghana"		432				104	0	16	3025	0.12	10.8	
"Cameroon"		401				116	0	45	1607	0.57	11.1	
"Mozambique"		306				112	0	-34	5327	0.22	10.9	
"Liberia"		300									11.2	
"Marshall Islands"		290				193	0	-45	7589	1	11.2	
"Kenya"		253				74	0.02	8	1328	0.16	10.9	
"Suriname"		249				111	0	280	3296	0.23	10.9	
"Cabo Verde"		211									10.8	
"Sudan"		210				178	0	32		0.24		
"Zimbabwe"		195				123	0	4	801	0.26	10.9	
"Tanzania, United Republic of"		181				128	0	28	1843	0.16	10.9	
"Algeria"		149				103	0	50	6922	0.5	10.9	
"Libya, State of"		149				149	0	100	2074	0.98	10.9	
"Cuba"		143				120	0	-11	10348	0.59	4.5	
"Bahamas"		142				160	0	-34	2291	0.48	10.9	
"Côte d'Ivoire"		139				79	0.01	1	1280	0.15	10.8	
"Syrian Arab Republic"		137				151	0	14	1500	0.71	10.9	
"Antigua and Barbuda"		135				181	0	69	3466	0.3	10.9	
"Bangladesh"		133				83	0.01	37	2818	0.96	10.9	
"Lebanon"		123				115	0	14	5280	0.1	10.9	
"Bahrain"		94				98	0	6	5754	0.29	10.9	
"Barbados"		86				93	0	14	980	0.1	10.9	
"Congo"		80				165	0	22	4723	0.34	11.1	
"Grenada"		80				177	0	17	246		10.9	
"Curaçao"		65				132	0	-32		0.27		
"Cyprus"		63				95	0	4	2819	0.18	10.9	
"Qatar"		51				73	0.02	2	4982	0.12	10.9	
"Saint Kitts and Nevis"		42				200	0	38	4226	0.36	10.9	
"Saint Lucia"		41				166	0	16	2993	0.18	10.9	
"Georgia"		40				117	0	25	787	0.36	10.9	
"Jamaica"		39				135	0	4	2572	0.22	10.9	
"Mongolia"		28				176	0	-16	4730	0.29	10.9	
"Iraq"		21				97	0	67	4335	0.18	11.2	
"Cambodia"		20				122	0	14	3020	0.61	10.9	
"Kuwait"		14				84	0.01	-22	7582	0.17	10.9	
"Myanmar"		14				163	0	-40	1526	0.55	10.9	
"Croatia"		13				55	0.06	19	701	0.09	10.9	
"Serbia"		13				66	0.03	14	1293	0.08	10.9	
"Mauritius"		11				129	0	-14	7116	0.53	10.9	
"Saint Vincent and the Grenadines"		11				189	0	18	169	0.38	10.9	
"Aruba"		11				191	0	3	4980	0.57	11.2	
"Nepal"		9				169	0	-33	7561	0.16	10.9	
"Yemen"		8				150	0	55	6623	0.34	10.8	
"Kazakhstan"		7				88	0	0	1326	0.3	10.9	
"Morocco"		6				82	0.01	38	3701	0.17	10.9	
"Bosnia and Herzegovina"		6				89	0	-25	380	0.26	10.9	
"Turkmenistan"		6				133	0	-9	860	0.85	10.9	
"Equatorial Guinea"		5				69	0.03	946	2805	1	11.1	
"Madagascar"		5				148	0	-18	4923	0.33	10.9	
"Cayman Islands"		4				157	0	-32	2808	0.29	11.2	
"Gibraltar"		4				183	0	-22	969	0.79	11.2	
"Bermuda"		3				204	0	7	2067	1	11.2	
"Zambia"		2				76	0.02	24	1031	0.92	10.9	
"Gabon"		2				119	0	143	3938	0.27	11.1	
"Ethiopia"		2				138	0	2	2269	0.34	10.9	
"Sao Tome and Principe"		1				175	0	332	7482	0.52	11.2	
"Vanuatu"		1				211	0	36	15992	1	11.1	
"Cook Islands"		1									11.2	
"Eswatini"						54	0.06	4	1265	0.66	10.9	
"Free Zones"						63	0.04	14		0.68		
"Iran, Islamic Republic of"						72	0.02	22	2636	0.34	10.9	
